Pathways	Species	Common-Name	Object ID	Taxonomic-Range	Synonyms
PWY-8425	TAX-1063 // TAX-272630 // TAX-34007 // TAX-1061 // TAX-1085 // TAX-1902 // TAX-1912 // TAX-132248	(2<i>S</i>)-ethylmalonyl-CoA biosynthesis	PWY-8425	TAX-2	
PWY-7907	TAX-287	(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis	PWY-7907	TAX-2	L-2-amino-4-methoxy-trans-3-butenoic acid biosynthesis // 4-methoxyvinylglycine biosynthesis
PWY-5434	TAX-3659 // TAX-3635 // TAX-3750 // TAX-3884 // TAX-47664 // TAX-3695 // TAX-29760 // TAX-4577 // ORG-5993	(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I	PWY-5434	TAX-33090	nerolidol biosynthesis // 4,8-dimethyl-1,3(<i>E</i>),7-nonatriene biosynthesis // DMNT biosynthesis
PWY-6007	ORG-5993	(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II	PWY-6007	TAX-3193	
PWY-7709	TAX-35608 // TAX-39329 // TAX-650269 // TAX-4081	(3<i>R</i>)-linalool biosynthesis	PWY-7709	TAX-3398 // TAX-4751	(<i>R</i>)-linalool biosynthesis
PWY-8320	TAX-116188	(3<i>R</i>)-N-[(2<i>S</i>)-1-hydroxy-6-[(3<i>R</i>)-3-isocyanobutanamido]hexan-2-yl]-3-isocyanobutanamide biosynthesis	PWY-8320	TAX-201174	isonitrile lipopeptide biosynthesis
PWY-8299	TAX-345341 // TAX-67297 // TAX-457427 // TAX-1009461	(3<i>S</i>)-diazinane-3-carboxylate biosynthesis	PWY-8299	TAX-201174	L-piperazate biosynthesis
PWY-7141	TAX-36903	(3<i>S</i>)-linalool biosynthesis	PWY-7141	TAX-2759	(<i>S</i>)-linalool biosynthesis // <i>S</i>-(+)-linalool biosynthesis
PWY-5922	ORG-6040	(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation	PWY-5922	TAX-2	
PWY-5928	TAX-34256 // TAX-29719	(4<i>R</i>)-carvone biosynthesis	PWY-5928	TAX-4136	
PWY-5927	ORG-6040	(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation	PWY-5927	TAX-2	
PWY-7443	TAX-48032 // TAX-2849020	(4S)-carvone biosynthesis	PWY-7443	TAX-71274	(+)-carvone biosynthesis // D-carvone biosynthesis
PWY-7728	TAX-9606	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PWY-7728	TAX-2759	
PWY-7726	TAX-9606	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)	PWY-7726	TAX-2759	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)
PWY-5737	TAX-555 // TAX-243265	(5<i>R</i>)-carbapenem carboxylate biosynthesis	PWY-5737	TAX-2	(<i>R</i>)-1-carbapen-2-em-3-carboxylate biosynthesis // (5<i>R</i>)-carbapenem-3-carboxylate biosynthesis
PWY0-862	TAX-1351 // TAX-511145 // TAX-1313	(5Z)-dodecenoate biosynthesis I	PWY0-862	TAX-2	(5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I
PWY-7858	TAX-85962	(5Z)-dodecenoate biosynthesis II	PWY-7858	TAX-2	(5Z)-dodec-5-enoate biosynthesis II // <i>cis</i>-dodecenoate biosynthesis II
PWY-5361	TAX-28973 // TAX-42439	(5<i>Z</i>)-icosenoate biosynthesis	PWY-5361	TAX-3398	&Delta;5-eicosenoic acid biosynthesis // &Delta;5-eicosenoate biosynthesis // &Delta;5-icosenoic acid biosynthesis // (5<i>Z</i>)-icos-5-enoate biosynthesis // &Delta;5-icosenoate biosynthesis
PWY-7590	TAX-3708 // TAX-3562 // ORG-5993	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis	PWY-7590	TAX-33090	
PWY-7654	TAX-82600	(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis	PWY-7654	TAX-7088	
PWY-7035	TAX-7370	(9<i>Z</i>)-tricosene biosynthesis	PWY-7035	TAX-50557	(<i>Z</i>)-9-tricosene biosynthesis
PWY-7805	TAX-1404 // TAX-511145 // TAX-272915 // TAX-37927 // TAX-382	(aminomethyl)phosphonate degradation	PWY-7805	TAX-2	
PWY-6668	TAX-3884 // ORG-5993	(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	PWY-6668	TAX-35493	TMTT biosynthesis
KDO-LIPASYN-PWY	TAX-511145	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)	KDO-LIPASYN-PWY	TAX-33090 // TAX-1224	
PWY-8285	TAX-511145	(Kdo)<sub>2</sub>-lipid A biosynthesis (generic)	PWY-8285	TAX-200940 // TAX-544448 // TAX-909932 // TAX-1798711 // TAX-1783257 // TAX-508458 // TAX-203691 // TAX-40117 // TAX-1802340 // TAX-2698788 // TAX-32066 // TAX-1783270 // TAX-74152 // TAX-68297 // TAX-200930 // TAX-2138240 // TAX-2716431 // TAX-200938 // TAX-1930617 // TAX-2498710 // TAX-2323 // TAX-200783 // TAX-57723 // TAX-1224	
PWY2DNV-2	TAX-85962	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>H. pylori</i>)	PWY2DNV-2	TAX-210	
PWY-8247	TAX-1125722	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. gingivalis</i>)	PWY-8247	TAX-2	
PWY-8075	TAX-160488	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. putida</i>)	PWY-8075	TAX-33090 // TAX-1224	
PWY2B4Q-7	TAX-359391	(Kdo)<sub>2</sub>-lipid A biosynthesis I (<i>Brucella</i>)	PWY2B4Q-7	TAX-118882	
PWY2DNV-3	TAX-85962	(Kdo)<sub>2</sub>-lipid A modification (<i>H. pylori</i>)	PWY2DNV-3	TAX-210	
PWY-7216	TAX-1488 // TAX-272562 // TAX-106590 // TAX-511145	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)	PWY-7216	TAX-2	(R)- and (S)-3-hydroxybutyrate biosynthesis
P601-PWY	ORG-5941	(<i>R</i>)-camphor degradation	P601-PWY	TAX-1224	(+)-camphor degradation // camphor 2,5 hydroxylating system // D-camphor degradation
PWY-7522	TAX-581246	(<i>R</i>)-canadine biosynthesis	PWY-7522	TAX-3465 // TAX-3398	
PWY-6642	ORG-6160	(<i>R</i>)-cysteate degradation	PWY-6642	TAX-2	
PWY-5951	TAX-4932 // TAX-554 // TAX-1406 // TAX-442	(<i>R,R</i>)-butanediol biosynthesis	PWY-5951	TAX-4751 // TAX-2	(<i>R,R</i>)-butylene glycol fermentation // (<i>R,R</i>)-butanediol fermentation
PWY3O-246	TAX-870730 // TAX-4932	(R,R)-butanediol degradation	PWY3O-246	TAX-4751 // TAX-2	(R,R)-butylene-glycol degradation
PWY-6989	ORG-5941	(<i>S</i>)-camphor degradation	PWY-6989	TAX-1224	(-)-camphor degradation // L-camphor degradation
PWY-8086	TAX-29466	(<i>S</i>)-lactate fermentation to propanoate, acetate and hydrogen	PWY-8086	TAX-2	
PWY-7013	TAX-546 // TAX-571 // TAX-1642 // TAX-28901 // TAX-99287	(<i>S</i>)-propane-1,2-diol degradation	PWY-7013	TAX-2	propylene glycol degradation // L-1,2-propanediol degradation
PWY-3581	TAX-33814 // TAX-3442 // TAX-397412 // TAX-3467 // TAX-3469 // TAX-150094 // TAX-79802	(<i>S</i>)-reticuline biosynthesis I	PWY-3581	TAX-3440 // TAX-3465 // TAX-3455 // TAX-3401 // TAX-41773	
PWY-6133	TAX-9606	(S)-reticuline biosynthesis II	PWY-6133	TAX-40674	
PWY-6390	TAX-1422 // TAX-548 // TAX-1718	(<i>S,S</i>)-butanediol biosynthesis	PWY-6390	TAX-2	(<i>S,S</i>)-butylene glycol fermentation // (<i>S,S</i>)-butanediol fermentation // (<i>S</i>)-acetoin degradation
PWY-6388	TAX-548 // TAX-1718 // TAX-1422	(S,S)-butanediol degradation	PWY-6388	TAX-4751 // TAX-2	(S,S)-butylene-glycol degradation
PWY-6900	TAX-105310	(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis	PWY-6900	TAX-40553	nectroscordum lachrymator biosynthesis
PWY-6539	TAX-46142	(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis	PWY-6539	TAX-3524	
PWY-6099	TAX-469561 // TAX-393999 // ORG-6079	1,2,4,5-tetrachlorobenzene degradation	PWY-6099	TAX-2	
PWY-6091	TAX-469561 // TAX-393999 // TAX-65067 // ORG-6078	1,2,4-trichlorobenzene degradation	PWY-6091	TAX-1224	
PWY-6090	TAX-65741 // TAX-1288 // TAX-393999 // TAX-65067	1,2-dichlorobenzene degradation	PWY-6090	TAX-2	
12DICHLORETHDEG-PWY	TAX-280	1,2-dichloroethane degradation	12DICHLORETHDEG-PWY	TAX-2	
PWY-7541	TAX-511145 // TAX-907 // TAX-99287	1,2-propanediol biosynthesis from lactate (engineered)	PWY-7541	TAX-2	
PWY-5765	TAX-74649 // TAX-128735	1,3,5-trimethoxybenzene biosynthesis	PWY-5765	TAX-3744	trimethoxybenzene biosynthesis // TMB biosynthesis
PWY-6773	TAX-4513 // TAX-4530 // TAX-4565 // ORG-5993	1,3-&beta;-D-glucan biosynthesis	PWY-6773	TAX-2759 // TAX-2157 // TAX-2	callose biosynthesis
PWY-6081	TAX-393999 // ORG-6074 // ORG-6073	1,3-dichlorobenzene degradation	PWY-6081	TAX-2	
PWY-5428	ORG-5948	1,3-dimethylbenzene degradation to 3-methylbenzoate	PWY-5428	TAX-2	<i>m</i>-xylene degradation to <i>m</i>-toluate
PWY-7385	TAX-511145 // TAX-573 // TAX-4932	1,3-propanediol biosynthesis (engineered)	PWY-7385	TAX-4751 // TAX-2	1,3-PDO biosynthesis
14DICHLORBENZDEG-PWY	TAX-393999 // TAX-65067 // ORG-6072 // ORG-6071	1,4-dichlorobenzene degradation	14DICHLORBENZDEG-PWY	TAX-1224	
PWY-7374	TAX-351607 // TAX-243230 // TAX-387092 // TAX-227882 // TAX-1902 // TAX-100226 // TAX-300852	1,4-dihydroxy-6-naphthoate biosynthesis I	PWY-7374	TAX-2	futalosine pathway
PWY-7371	TAX-272558 // TAX-197 // TAX-83560 // TAX-813 // TAX-83555 // TAX-83557 // TAX-83556 // TAX-210 // TAX-174 // TAX-173	1,4-dihydroxy-6-naphthoate biosynthesis II	PWY-7371	TAX-2	modified futalosine pathway
PWY-5429	ORG-5948	1,4-dimethylbenzene degradation to 4-methylbenzoate	PWY-5429	TAX-2	<i>p</i>-xylene degradation to <i>p</i>-toluate
PWY-6992	TAX-106592 // TAX-382	1,5-anhydrofructose degradation	PWY-6992	TAX-2	
6-HYDROXYCINEOLE-DEGRADATION-PWY	TAX-644410	1,8-cineole degradation	6-HYDROXYCINEOLE-DEGRADATION-PWY	TAX-2	6-hydroxycineole degradation
PWY-6886	TAX-1488 // TAX-272562 // TAX-3039 // TAX-1140	1-butanol autotrophic biosynthesis (engineered)	PWY-6886	TAX-186801 // TAX-33682 // TAX-1117	
PWY-7681	ORG-6281	1-chloro-2-nitrobenzene degradation	PWY-7681	TAX-2	2-chloronitrobenzene degradation
PWY-5315	TAX-33113 // TAX-310458 // TAX-4079 // TAX-4097 // TAX-4113	1-methylpyrrolinium biosynthesis	PWY-5315	TAX-4070	nicotine and tropane alkaloids precursor biosynthesis // N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation biosynthesis
PWY-5935	TAX-83331 // TAX-83332 // TAX-233413	1-tuberculosinyladenosine biosynthesis	PWY-5935	TAX-1763	
PWY-7691	TAX-1063	10,13-epoxy-11-methyl-octadecadienoate biosynthesis	PWY-7691	TAX-2	
PWY-7337	TAX-4932	10-<i>cis</i>-heptadecenoyl-CoA degradation (yeast)	PWY-7337	TAX-4751	
PWY-8172	TAX-31958 // TAX-43771 // TAX-83332 // TAX-37916 // TAX-1538463 // TAX-1833 // TAX-263849 // TAX-334542 // TAX-1830	10-methylstearate biosynthesis	PWY-8172	TAX-2	
PWY-7339	TAX-4932	10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)	PWY-7339	TAX-4751	
PWY-7338	TAX-4932	10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	PWY-7338	TAX-4751	
PWY-7043	TAX-7227 // TAX-7137 // TAX-7370	11-<i>cis</i>-3-hydroxyretinal biosynthesis	PWY-7043	TAX-50557	
PWY-8202	TAX-9606	11-oxyandrogens biosynthesis	PWY-8202	TAX-40674	
PWY-7958	TAX-83542 // TAX-1930929	12-<i>epi</i>-fischerindole biosynthesis	PWY-7958	TAX-1892263	
PWY-7959	TAX-230521 // TAX-1535197	12-<i>epi</i>-hapalindole biosynthesis	PWY-7959	TAX-1892263	
PWY66-393	TAX-9606	15-<i>epi</i>-lipoxin biosynthesis	PWY66-393	TAX-40674	aspirin-triggered lipoxin biosynthesis
PWY-6361	TAX-4932	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)	PWY-6361	TAX-4751	phytate biosynthesis
PWY-6362	TAX-9606	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	PWY-6362	TAX-33208	phytate biosynthesis
PWY-4661	TAX-29656 // TAX-4577	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	PWY-4661	TAX-33090	lipid-independent phytic acid biosynthesis // lipid-independent InsP<sub>6</sub> biosynthesis // lipid-independent phytate biosynthesis // hexakisphosphate biosynthesis (lipid-independent) // phytate biosynthesis
PWY-6372	TAX-44689	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis IV (<i>Dictyostelium</i>)	PWY-6372	TAX-33083	lipid-independent phytic acid biosynthesis // lipid-independent InsP<sub>6</sub> biosynthesis // lipid-independent phytate biosynthesis // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (lipid-independent) // phytate biosynthesis
PWY-6554	ORG-5993	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	PWY-6554	TAX-33090	phytate biosynthesis
PWY-5912	TAX-4513 // TAX-4530 // TAX-4565 // TAX-4577	2'-deoxymugineic acid phytosiderophore biosynthesis	PWY-5912	TAX-4479	DMA biosynthesis // Fe acquisition // iron acquisition // strategy II Fe-acquisition
PWY-7945	TAX-2035 // TAX-370437	2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-&beta;,&beta;-carotene monoglucoside biosynthesis	PWY-7945	TAX-201174 // TAX-2157	C.p.450 monoglucoside biosynthesis
PWY-7009	TAX-46680	2,2'-dihydroxybiphenyl degradation	PWY-7009	TAX-2	
PWY-7637	TAX-74316 // TAX-1113698	2,2'-dihydroxyketocarotenoids biosynthesis	PWY-7637	TAX-1224 // TAX-2	
PWY-6035	TAX-47247 // TAX-3880 // ORG-5993	2,3-<i>cis</i>-flavanols biosynthesis	PWY-6035	TAX-33090	2,3-<i>cis</i>-flavan-3-ols biosynthesis
PWY-5901	TAX-1423 // TAX-511145 // TAX-666	2,3-dihydroxybenzoate biosynthesis	PWY-5901	TAX-2	
PWY-7480	TAX-294 // TAX-395598 // ORG-5948	2,3-dihydroxybenzoate degradation	PWY-7480	TAX-1224	
PWY-6029	TAX-4442 // TAX-225101 // TAX-47247	2,3-<i>trans</i>-flavanols biosynthesis	PWY-6029	TAX-33090	flavan-3-ols biosynthesis
PWY-6200	TAX-252970	2,4,5-trichlorophenoxyacetate degradation	PWY-6200	TAX-2	2,4,5-trichlorophenoxyacetic acid degradation // 2,4,5-T degradation
PWY-6178	TAX-264198 // TAX-37919 // TAX-1928 // ORG-6075	2,4,6-trichlorophenol degradation	PWY-6178	TAX-2	
PWY-7627	TAX-1833 // ORG-6275 // ORG-6274 // ORG-6273	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	PWY-7627	TAX-2	picric acid degradation
PWY-6051	ORG-5993	2,4,6-trinitrotoluene degradation	PWY-6051	TAX-33090	TNT degradation
PWY-6085	TAX-80866 // TAX-244562 // TAX-69003 // TAX-264198	2,4-dichlorophenoxyacetate degradation	PWY-6085	TAX-2	2,4-dichlorophenoxyacetic acid degradation
PWY-6190	TAX-393999	2,4-dichlorotoluene degradation	PWY-6190	TAX-2	
PWY-7628	TAX-1517491	2,4-dinitroanisole degradation	PWY-7628	TAX-2	
PWY-5642	TAX-233098 // ORG-5883	2,4-dinitrotoluene degradation	PWY-5642	TAX-2	
PWY-7703	ORG-6283	2,4-xylenol degradation to protocatechuate	PWY-7703	TAX-1224	
PWY-6191	TAX-393999	2,5-dichlorotoluene degradation	PWY-6191	TAX-2	
PWY-7698	ORG-5928 // ORG-5949	2,5-xylenol and 3,5-xylenol degradation	PWY-7698	TAX-1224	
PWY-5643	ORG-5909 // ORG-5882	2,6-dinitrotoluene degradation	PWY-5643	TAX-2	
PWY-8427	TAX-1967 // TAX-941587 // TAX-82632 // TAX-330919 // TAX-1114943	2-allylmalonyl-CoA biosynthesis	PWY-8427	TAX-2062	2-carboxypent-4-enoyl-CoA biosynthesis
PWY-5654	TAX-216591 // ORG-5996 // ORG-5935	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	PWY-5654	TAX-2	
PWY-5652	TAX-9685 // TAX-9606	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	PWY-5652	TAX-4751 // TAX-33208	
PWY-7536	ORG-6265	2-amino-3-hydroxycyclopent-2-enone biosynthesis	PWY-7536	TAX-201174	
PWY-6839	TAX-817 // TAX-5908 // TAX-5693	2-aminoethylphosphonate biosynthesis	PWY-6839	TAX-2 // TAX-33154 // TAX-33682 // TAX-33630	
PHOSPHONOTASE-PWY	TAX-1396 // TAX-548 // TAX-287 // TAX-90371	2-aminoethylphosphonate degradation I	PHOSPHONOTASE-PWY	TAX-2	phosphonotase pathway
PWY-6832	TAX-266834	2-aminoethylphosphonate degradation II	PWY-6832	TAX-2	
PWY-7447	TAX-663362	2-aminoethylphosphonate degradation III	PWY-7447	TAX-2	
PWY-6210	TAX-301 // TAX-874293 // ORG-5945	2-aminophenol degradation	PWY-6210	TAX-2	
PWY-8052	TAX-9606	2-arachidonoylglycerol biosynthesis	PWY-8052	TAX-33208	
PWY-5837	TAX-83332 // TAX-1423 // TAX-1351 // TAX-511145 // TAX-254777 // TAX-120793 // TAX-1766 // TAX-1768 // TAX-1771 // TAX-1773 // TAX-29802 // TAX-1148 // ORG-5993	2-carboxy-1,4-naphthoquinol biosynthesis	PWY-5837	TAX-33090 // TAX-2	
PWY-7425	TAX-306678	2-chloroacrylate degradation I	PWY-7425	TAX-2	
PWY-7428	TAX-306678 // TAX-66693	2-chloroacrylate degradation II	PWY-7428	TAX-2	
PWY-6221	ORG-6102	2-chlorobenzoate degradation	PWY-6221	TAX-2	
PWY-7180	TAX-511145	2-deoxy-&alpha;-D-ribose 1-phosphate degradation	PWY-7180	TAX-2	
PWY-8121	TAX-5062 // TAX-5535	2-deoxy-D-glucose 6-phosphate degradation	PWY-8121	TAX-4751 // TAX-2	
PWY-8060	TAX-99287 // TAX-546 // TAX-550 // TAX-562 // TAX-571 // TAX-1590 // TAX-577 // TAX-90370 // TAX-90371 // TAX-670 // TAX-622260	2-deoxy-D-ribose degradation I	PWY-8060	TAX-2	deoxyribose degradation I
PWY-8058	TAX-420952 // TAX-261302 // TAX-321846	2-deoxy-D-ribose degradation II	PWY-8058	TAX-2	deoxyribose degradation II
PWY-6660	TAX-287 // TAX-652611 // TAX-208964	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	PWY-6660	TAX-2	2-heptyl-3,4-dihydroxyquinoline biosynthesis // <i>Pseudomonas</i> quinolone signal biosynthesis // PQS biosynthesis
PWY-7008	TAX-46680	2-hydroxybiphenyl degradation	PWY-7008	TAX-2	
PWY-8019	TAX-33178 // TAX-63396 // TAX-5270	2-hydroxyparaconate and itatartarate biosynthesis	PWY-8019	TAX-4751	
PWY-5162	TAX-232721 // TAX-170622 // TAX-292 // TAX-58226 // TAX-511145 // TAX-303 // TAX-351746 // TAX-79676 // TAX-329 // ORG-5948	2-hydroxypenta-2,4-dienoate degradation	PWY-5162	TAX-1224	2-oxopent-4-enoate degradation // 2-ketopentenoate degradation // 2-oxopentenoate degradation // (2Z)-2-hydroxypenta-2,4-dienoate degradation
PWY-5776	TAX-1038921	2-hydroxyphenazine biosynthesis	PWY-5776	TAX-2	
PWY-7011	TAX-46680	2-isopropylphenol degradation	PWY-7011	TAX-2	
PWY-5782	TAX-442 // TAX-92945 // ORG-6025 // ORG-6026	2-keto-L-gulonate biosynthesis	PWY-5782	TAX-2	2-keto-gulonate biosynthesis // 2-dehydro-gulonate biosynthesis
PWY-8181	TAX-9606 // TAX-10116	2-methyl-branched fatty acid &beta;-oxidation	PWY-8181	TAX-33208	&alpha;-methyl-branched fatty acid &beta;-oxidation
PWY-7965	TAX-90371	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7965	TAX-2	adenosyl-factor A biosynthesis from adenosylcobinamide-GDP // <i>Co</i>&alpha;-[a-(2-methyladenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY0-42	TAX-511145 // TAX-90371 // TAX-4952	2-methylcitrate cycle I	PWY0-42	TAX-4751 // TAX-2	
PWY-5747	TAX-159450 // TAX-106590 // TAX-487 // TAX-70863 // TAX-666 // TAX-266264	2-methylcitrate cycle II	PWY-5747	TAX-2	
PWY-7087	TAX-54 // TAX-941940 // TAX-405948 // TAX-278992 // TAX-1890 // TAX-100226 // TAX-455632 // ORG-6218	2-methylisoborneol biosynthesis	PWY-7087	TAX-29 // TAX-1117 // TAX-201174	
PWY-6585	TAX-4107 // TAX-62890 // TAX-4081	2-methylketone biosynthesis	PWY-6585	TAX-4107	methyl ketone biosynthesis
PWY-7778	TAX-1547487	2-methylpropene degradation	PWY-7778	TAX-2	
PWY-5647	ORG-5996 // ORG-5935	2-nitrobenzoate degradation I	PWY-5647	TAX-2	
PWY-5648	TAX-37919 // ORG-5994 // ORG-5996	2-nitrobenzoate degradation II	PWY-5648	TAX-2	
PWY-5636	ORG-5943	2-nitrophenol degradation	PWY-5636	TAX-2	<i>ortho</i>-nitrophenol degradation // <i>o</i>-nitrophenol degradation
PWY-5641	TAX-232721	2-nitrotoluene degradation	PWY-5641	TAX-2	
PWY-7460	TAX-3562	2-<i>O</i>-acetyl-3-<i>O</i>-<i>trans</i>-coutarate biosynthesis	PWY-7460	TAX-3398	
PWY0-1300	TAX-511145	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	PWY0-1300	TAX-2	
PWY-5130	TAX-10116 // TAX-9986 // TAX-10036 // TAX-40674 // TAX-9606 // TAX-9913	2-oxobutanoate degradation I	PWY-5130	TAX-2759 // TAX-2	2-oxobutyrate catabolism // 2-oxobutyrate degradation
2OXOBUTYRATECAT-PWY	TAX-2208 // TAX-2287 // TAX-273063	2-oxobutanoate degradation II	2OXOBUTYRATECAT-PWY	TAX-2157	2-oxobutyrate catabolism // 2-oxobutyrate degradation // 2-oxobutanoic acid degradation II // 2-ketobutyrate catabolism
PWY-5084	TAX-1423 // TAX-1299 // TAX-511145 // TAX-1422 // TAX-9606 // TAX-10090 // TAX-287 // TAX-303 // TAX-10116 // TAX-2287 // TAX-1142	2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084	TAX-2759 // TAX-2 // TAX-2157	2-oxoglutarate dehydrogenase complex // 2-ketoglutarate dehydrogenase complex // 2-oxoglutarate dehydrogenase system // 2-ketoglutarate dehydrogenase system // &alpha;-ketoglutarate dehydrogenase system
PWY-5046	TAX-1422 // TAX-9606 // TAX-10090 // TAX-287 // TAX-303 // TAX-10116 // TAX-2287 // TAX-1142	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	PWY-5046	TAX-2759 // TAX-2 // TAX-2157	branched-chain &alpha;-keto acid dehydrogenase system // branched-chain &alpha;-keto acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase system
PWY-7010	TAX-46680	2-propylphenol degradation	PWY-7010	TAX-2	
PWY-8238	TAX-29204 // TAX-267567	24-<i>epi</i>-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)	PWY-8238	TAX-2836	
PWY-7065	TAX-99806	2&alpha;,7&beta;-dihydroxylation of taxusin	PWY-7065	TAX-3313	
PWY-7462	TAX-1247726	3,3'-disulfanediyldipropannoate degradation	PWY-7462	TAX-2	3,3'-dithiodipropionate degradation // 3,3'-dithiodipropanoate degradation
PWY-7465	TAX-34073	3,3'-thiodipropanoate degradation	PWY-7465	TAX-2	3,3'-thiodipropionate degradation
PWY-6094	TAX-393999 // TAX-65067 // TAX-469561 // ORG-6079	3,4,6-trichlorocatechol degradation	PWY-6094	TAX-2	
PWY-6217	TAX-285	3,4-dichlorobenzoate degradation	PWY-6217	TAX-2	
PWY-6192	TAX-393999	3,4-dichlorotoluene degradation	PWY-6192	TAX-2	
PWY-7095	TAX-55501	3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis	PWY-7095	TAX-58024	
