Dataset,Module,Feature,Feature description,Increased in?
"CD (Franzosa, 2019)",2,T__Veillonella_infantium,[T] Veillonella_infantium,non-significant
"Cirrhosis (Qin, 2014)",1,P__ASPASN.PWY,[P] superpathway of L-aspartate and L-asparagine biosynthesis,non-significant
"Cirrhosis (Qin, 2014)",2,P__AST.PWY,[P] L-arginine degradation II (AST pathway),disease
"Cirrhosis (Qin, 2014)",2,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster178,[P] catechol degradation to &beta;-ketoadipate [Clustered features],disease
"Cirrhosis (Qin, 2014)",2,P__ECASYN.PWY,[P] enterobacterial common antigen biosynthesis,disease
"Cirrhosis (Qin, 2014)",3,P__FOLSYN.PWY_Cluster193,[P] superpathway of tetrahydrofolate biosynthesis and salvage [Clustered features],disease
"Cirrhosis (Qin, 2014)",2,P__GOLPDLCAT.PWY,"[P] SP of glycerol deg. to 1,3-propanediol",disease
"Cirrhosis (Qin, 2014)",3,P__HEME.BIOSYNTHESIS.II,[P] heme _b_ biosynthesis I (aerobic),disease
"Cirrhosis (Qin, 2014)",3,P__HEMESYN2.PWY,[P] heme _b_ biosynthesis II (oxygen-independent),disease
"Cirrhosis (Qin, 2014)",3,P__HOMOSER.METSYN.PWY,[P] L-methionine biosynthesis I,disease
"Cirrhosis (Qin, 2014)",3,P__MET.SAM.PWY_Cluster226,[P] superpathway of _S_-adenosyl-L-methionine biosynthesis [Clustered features],disease
"Cirrhosis (Qin, 2014)",2,P__P221.PWY,[P] octane oxidation,disease
"Cirrhosis (Qin, 2014)",2,P__PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY_Cluster256,[P] protocatechuate degradation II [Clustered features],disease
"Cirrhosis (Qin, 2014)",1,P__PWY.1269,[P] CMP-3-deoxy-D-manno-octulosonate biosynthesis,non-significant
"Cirrhosis (Qin, 2014)",1,P__PWY.2941,[P] L-lysine biosynthesis II,disease
"Cirrhosis (Qin, 2014)",2,P__PWY.3801,[P] sucrose degradation II (sucrose synthase),disease
"Cirrhosis (Qin, 2014)",3,P__PWY.5347,[P] superpathway of L-methionine biosynthesis (transsulfuration),disease
"Cirrhosis (Qin, 2014)",3,P__PWY.5837,"[P] 2-carboxy-1,4-naphthoquinol biosynthesis",disease
"Cirrhosis (Qin, 2014)",3,P__PWY.5838_Cluster296,[P] superpathway of menaquinol-8 biosynthesis I [Clustered features],disease
"Cirrhosis (Qin, 2014)",3,P__PWY.5863,[P] superpathway of phylloquinol biosynthesis,disease
"Cirrhosis (Qin, 2014)",3,P__PWY.5897_Cluster302,[P] superpathway of menaquinol-11 biosynthesis [Clustered features],disease
"Cirrhosis (Qin, 2014)",3,P__PWY.5910_Cluster303,[P] superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) [Clustered features],disease
"Cirrhosis (Qin, 2014)",1,P__PWY.6126,[P] superpathway of adenosine nucleotides _de novo_ biosynthesis II,non-significant
"Cirrhosis (Qin, 2014)",2,P__PWY.6182_Cluster320,[P] superpathway of salicylate degradation [Clustered features],disease
"Cirrhosis (Qin, 2014)",1,P__PWY.6478,[P] GDP-D-_glycero_-&alpha;-D-_manno_-heptose biosynthesis,disease
"Cirrhosis (Qin, 2014)",2,P__PWY.6562,[P] norspermidine biosynthesis,disease
"Cirrhosis (Qin, 2014)",2,P__PWY.7013,"[P] (S)-propane-1,2-diol degradation",disease
"Cirrhosis (Qin, 2014)",1,P__PWY.7200,[P] superpathway of pyrimidine deoxyribonucleoside salvage,non-significant
"Cirrhosis (Qin, 2014)",1,P__PWY.7229,[P] superpathway of adenosine nucleotides _de novo_ biosynthesis I,non-significant
"Cirrhosis (Qin, 2014)",1,P__PWY0.1586,[P] peptidoglycan maturation (_meso_-diaminopimelate containing),disease
"Cirrhosis (Qin, 2014)",3,P__PYRIDNUCSAL.PWY,[P] NAD salvage pathway I (PNC VI cycle),disease
"Cirrhosis (Qin, 2014)",2,P__REDCITCYC,[P] TCA cycle VI (Helicobacter),disease
"Cirrhosis (Qin, 2014)",2,P__THREOCAT.PWY,[P] superpathway of L-threonine metabolism,disease
"Cirrhosis (Qin, 2014)",1,T__.Clostridium..symbiosum,[T] Clostridium symbiosum,disease
"Cirrhosis (Qin, 2014)",1,T__Adlercreutzia.equolifaciens,[T] Adlercreutzia_equolifaciens,healthy
"Cirrhosis (Qin, 2014)",1,T__Anaerobutyricum.hallii,[T] Anaerobutyricum_hallii,healthy
"Cirrhosis (Qin, 2014)",1,T__Bacteroides.thetaiotaomicron,[T] Bacteroides_thetaiotaomicron,non-significant
"Cirrhosis (Qin, 2014)",3,T__Campylobacter.concisus,[T] Campylobacter_concisus,disease
"Cirrhosis (Qin, 2014)",1,T__Coprococcus.catus,[T] Coprococcus_catus,healthy
"Cirrhosis (Qin, 2014)",1,T__Dialister.sp..CAG.357,[T] Dialister sp CAG 357,healthy
"Cirrhosis (Qin, 2014)",3,T__Haemophilus.parainfluenzae,[T] Haemophilus_parainfluenzae,disease
"Cirrhosis (Qin, 2014)",2,T__Klebsiella.pneumoniae,[T] Klebsiella_pneumoniae,disease
"Cirrhosis (Qin, 2014)",2,T__Klebsiella.quasipneumoniae,[T] Klebsiella_quasipneumoniae,disease
"Cirrhosis (Qin, 2014)",2,T__Klebsiella.variicola,[T] Klebsiella_variicola,disease
"Cirrhosis (Qin, 2014)",3,T__Megasphaera.micronuciformis,[T] Megasphaera_micronuciformis,disease
"Cirrhosis (Qin, 2014)",1,T__Parabacteroides.distasonis,[T] Parabacteroides_distasonis,non-significant
"Cirrhosis (Qin, 2014)",1,T__Prevotella.copri,[T] Prevotella_copri,non-significant
"Cirrhosis (Qin, 2014)",3,T__Streptococcus.gordonii,[T] Streptococcus_gordonii,disease
"Cirrhosis (Qin, 2014)",3,T__Streptococcus.mitis,[T] Streptococcus_mitis,disease
"Cirrhosis (Qin, 2014)",3,T__Streptococcus.parasanguinis,[T] Streptococcus_parasanguinis,disease
"Cirrhosis (Qin, 2014)",3,T__Streptococcus.salivarius,[T] Streptococcus_salivarius,disease
"Cirrhosis (Qin, 2014)",3,T__Veillonella.atypica,[T] Veillonella_atypica,disease
"Cirrhosis (Qin, 2014)",3,T__Veillonella.dispar,[T] Veillonella_dispar,disease
"Cirrhosis (Qin, 2014)",3,T__Veillonella.infantium,[T] Veillonella_infantium,disease
"Cirrhosis (Qin, 2014)",3,T__Veillonella.parvula,[T] Veillonella_parvula,disease
"Cirrhosis (Qin, 2014)",3,T__Veillonella.sp..T11011.6,[T] Veillonella sp T11011 6,disease
"CRC (Feng, 2015)",1,P__GLYCOGENSYNTH.PWY,[P] glycogen biosynthesis I (from ADP-D-Glucose),healthy
"CRC (Feng, 2015)",1,P__P108.PWY,[P] pyruvate fermentation to propanoate I,disease
"CRC (Feng, 2015)",1,P__PWY.4984,[P] urea cycle,disease
"CRC (Feng, 2015)",1,P__PWY.5100,[P] pyruvate fermentation to acetate and lactate II,healthy
"CRC (Feng, 2015)",2,P__PWY.5101_Cluster287,[P] L-isoleucine biosynthesis II [Clustered features],non-significant
"CRC (Feng, 2015)",1,P__PWY.5154,[P] L-arginine biosynthesis III,disease
"CRC (Feng, 2015)",1,P__PWY.5973,[P] cis-vaccenate biosynthesis,disease
"CRC (Feng, 2015)",3,P__PWY.6284,[P] SP of unsaturated fatty acids biosynthesis (E. coli),non-significant
"CRC (Feng, 2015)",3,P__PWY.6285,[P] superpathway of fatty acids biosynthesis (_E. coli_),disease
"CRC (Feng, 2015)",3,P__PWY.6612,[P] superpathway of tetrahydrofolate biosynthesis,non-significant
"CRC (Feng, 2015)",2,P__PWY.6700,[P] queuosine biosynthesis I (_de novo_),non-significant
"CRC (Feng, 2015)",1,P__PWY.7663,[P] gondoate biosynthesis (anaerobic),disease
"CRC (Feng, 2015)",1,P__PWY.841,[P] SP of purine nucleotides (de novo) biosynthesis I,disease
"CRC (Feng, 2015)",2,P__PWY0.1261,[P] peptidoglycan recycling I,non-significant
"CRC (Feng, 2015)",1,P__PWY0.845,[P] SP of pyridoxal 5'-phosphate biosynthesis/salvage,disease
"CRC (Feng, 2015)",1,P__PYRIDOXSYN.PWY,[P] pyridoxal 5'-phosphate biosynthesis I,disease
"CRC (Feng, 2015)",2,P__RUMP.PWY,[P] formaldehyde oxidation I,non-significant
"CRC (Feng, 2015)",1,P__THISYN.PWY,[P] SP of thiamine diphosphate biosynthesis I,disease
"CRC (Feng, 2015)",3,T__.Eubacterium..rectale,[T] Eubacterium rectale,non-significant
"CRC (Feng, 2015)",3,T__.Ruminococcus..torques,[T] Ruminococcus torques,non-significant
"CRC (Feng, 2015)",1,T__Anaerostipes.hadrus,[T] Anaerostipes_hadrus,healthy
"CRC (Feng, 2015)",2,T__Bacteroides.galacturonicus,[T] Bacteroides_galacturonicus,disease
"CRC (Feng, 2015)",1,T__Bacteroides.ovatus,[T] Bacteroides_ovatus,disease
"CRC (Feng, 2015)",1,T__Bacteroides.uniformis,[T] Bacteroides_uniformis,non-significant
"CRC (Feng, 2015)",1,T__Bacteroides.xylanisolvens,[T] Bacteroides_xylanisolvens,disease
"CRC (Feng, 2015)",1,T__Butyricimonas.virosa,[T] Butyricimonas_virosa,disease
"CRC (Feng, 2015)",2,T__Catenibacterium.mitsuokai,[T] Catenibacterium_mitsuokai,non-significant
"CRC (Feng, 2015)",3,T__Escherichia.coli,[T] Escherichia_coli,disease
"CRC (Feng, 2015)",1,T__Fusicatenibacter.saccharivorans,[T] Fusicatenibacter_saccharivorans,healthy
"CRC (Feng, 2015)",2,T__Gemella.morbillorum,[T] Gemella_morbillorum,disease
"CRC (Feng, 2015)",1,T__Lawsonibacter.asaccharolyticus,[T] Lawsonibacter_asaccharolyticus,disease
"CRC (Feng, 2015)",1,T__Odoribacter.splanchnicus,[T] Odoribacter_splanchnicus,disease
"CRC (Feng, 2015)",2,T__Oscillibacter.sp..CAG.241,[T] Oscillibacter sp CAG 241,disease
"CRC (Feng, 2015)",1,T__Parabacteroides.distasonis,[T] Parabacteroides_distasonis,disease
"CRC (Feng, 2015)",2,T__Parvimonas.micra,[T] Parvimonas_micra,disease
"CRC (Feng, 2015)",3,T__Ruminococcaceae.bacterium.D16,[T] Ruminococcaceae bacterium D16,disease
"CRC (Yachida, 2019)",1,M__C00079_Phe,[M] C00079_Phe,disease
"CRC (Yachida, 2019)",1,M__C00123_Leu,[M] C00123_Leu,disease
"CRC (Yachida, 2019)",1,M__C00183_Val,[M] C00183_Val,disease
"CRC (Yachida, 2019)",2,M__C00612_N1.Acetylspermidine,[M] C00612_N1.Acetylspermidine,healthy
"CRC (Yachida, 2019)",2,M__C03793_N6.N6.N6.Trimethyllysine,[M] C03793_N6.N6.N6.Trimethyllysine,healthy
"CRC (Yachida, 2019)",2,M__C05135_4..beta.Acetylaminoethyl.imidazole,[M] C05135_4..beta.Acetylaminoethyl.imidazole,healthy
"CRC (Yachida, 2019)",2,M__C16741_5.Hydroxylysine,[M] C16741_5.Hydroxylysine,healthy
"CRC (Yachida, 2019)",1,M__Cysteine.glutathione.disulphide..Divalent,[M] Cysteine.glutathione.disulphide..Divalent,non-significant
"CRC (Yachida, 2019)",2,M__N1.N8.Diacetylspermidine,[M] N1.N8.Diacetylspermidine,healthy
"CRC (Yachida, 2019)",2,P__GLYCOCAT.PWY,[P] glycogen degradation I,disease
"CRC (Yachida, 2019)",2,P__PWY.6969,[P] TCA cycle V (2-oxoglutarate synthase),disease
"CRC (Yachida, 2019)",2,P__PWY.7254,[P] TCA cycle VII (acetate-producers),non-significant
"CRC (Yachida, 2019)",2,T__Clostridium.viride,[T] Clostridium_viride,disease
"CRC (Yachida, 2019)",1,T__Gemella.morbillorum,[T] Gemella_morbillorum,disease
"CRC (Yachida, 2019)",2,T__Oscillibacter.ruminantium_Cluster348,[T] Oscillibacter_ruminantium [Clustered features],non-significant
"CRC (Yachida, 2019)",2,T__Papillibacter.cinnamivorans,[T] Papillibacter_cinnamivorans,disease
"CRC (Yachida, 2019)",1,T__Peptostreptococcus.anaerobius,[T] Peptostreptococcus_anaerobius,disease
"CRC (Yachida, 2019)",1,T__Peptostreptococcus.stomatis,[T] Peptostreptococcus_stomatis,disease
"CRC (Yachida, 2019)",2,T__Pseudoflavonifractor.capillosus,[T] Pseudoflavonifractor_capillosus,disease
"CRC (Vogtmann, 2016)",1,P__KETOGLUCONMET.PWY,[P] ketogluconate metabolism,non-significant
"CRC (Vogtmann, 2016)",1,P__METHGLYUT.PWY,[P] superpathway of methylglyoxal degradation,disease
"CRC (Vogtmann, 2016)",2,P__OANTIGEN.PWY,[P] _O_-antigen building blocks biosynthesis (_E. coli_),healthy
"CRC (Vogtmann, 2016)",3,P__PENTOSE.P.PWY,[P] pentose phosphate pathway,non-significant
"CRC (Vogtmann, 2016)",1,P__PWY.5189,[P] tetrapyrrole biosynthesis II (from glycine),disease
"CRC (Vogtmann, 2016)",1,P__PWY.5747_Cluster302,[P] 2-methylcitrate cycle II [Clustered features],disease
"CRC (Vogtmann, 2016)",1,P__PWY.5920,[P] superpathway of heme _b_ biosynthesis from glycine,non-significant
"CRC (Vogtmann, 2016)",2,P__PWY.6126,[P] superpathway of adenosine nucleotides _de novo_ biosynthesis II,non-significant
"CRC (Vogtmann, 2016)",2,P__PWY.6700,[P] queuosine biosynthesis I (_de novo_),healthy
"CRC (Vogtmann, 2016)",3,P__PWY.6749,[P] CMP-legionaminate biosynthesis I,non-significant
"CRC (Vogtmann, 2016)",2,P__PWY.7220_Cluster376,[P] adenosine deoxyribonucleotides _de novo_ biosynthesis II [Clustered features],disease
"CRC (Vogtmann, 2016)",2,P__PWY.7229,[P] superpathway of adenosine nucleotides _de novo_ biosynthesis I,non-significant
"CRC (Vogtmann, 2016)",2,P__PWY0.1261,[P] peptidoglycan recycling I,non-significant
"CRC (Vogtmann, 2016)",2,P__UDPNAGSYN.PWY,[P] UDP-_N_-acetyl-D-glucosamine biosynthesis I,healthy
"CRC (Vogtmann, 2016)",3,T__.Clostridium..innocuum,[T] Clostridium innocuum,non-significant
"CRC (Vogtmann, 2016)",2,T__.Clostridium..leptum,[T] Clostridium leptum,non-significant
"CRC (Vogtmann, 2016)",2,T__Bacteroides.nordii,[T] Bacteroides_nordii,non-significant
"CRC (Vogtmann, 2016)",3,T__Blautia.producta,[T] Blautia_producta,non-significant
"CRC (Vogtmann, 2016)",2,T__Eggerthella.lenta,[T] Eggerthella_lenta,non-significant
"CRC (Vogtmann, 2016)",3,T__Erysipelatoclostridium.ramosum,[T] Erysipelatoclostridium_ramosum,non-significant
"CRC (Vogtmann, 2016)",1,T__Escherichia.coli,[T] Escherichia_coli,disease
"CRC (Vogtmann, 2016)",2,T__Firmicutes.bacterium.CAG.95,[T] Firmicutes bacterium CAG 95,non-significant
"CRC (Vogtmann, 2016)",3,T__Hungatella.hathewayi,[T] Hungatella_hathewayi,non-significant
"CRC (Vogtmann, 2016)",1,T__Phocaeicola.dorei,[T] Phocaeicola_dorei,non-significant
"CRC (Vogtmann, 2016)",1,T__Rothia.mucilaginosa,[T] Rothia_mucilaginosa,non-significant
"CRC (Vogtmann, 2016)",2,T__Ruthenibacterium.lactatiformans,[T] Ruthenibacterium_lactatiformans,non-significant
"CRC (Vogtmann, 2016)",1,T__Streptococcus.gordonii,[T] Streptococcus_gordonii,non-significant
"CRC (Vogtmann, 2016)",1,T__Streptococcus.oralis,[T] Streptococcus_oralis,non-significant
"CRC (Vogtmann, 2016)",1,T__Turicibacter.sanguinis,[T] Turicibacter_sanguinis,non-significant
"CRC (Vogtmann, 2016)",1,T__Veillonella.atypica,[T] Veillonella_atypica,non-significant
"CRC (Vogtmann, 2016)",1,T__Veillonella.dispar,[T] Veillonella_dispar,non-significant
"CRC (Wirbel, 2018)",1,P__ARGDEG.PWY_Cluster172,"[P] superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation [Clustered features]",non-significant
"CRC (Wirbel, 2018)",2,P__COBALSYN.PWY,[P] SP of adenosylcobalamin salvage from cobinamide I,healthy
"CRC (Wirbel, 2018)",2,P__GALACT.GLUCUROCAT.PWY,[P] superpathway of hexuronide and hexuronate degradation,healthy
"CRC (Wirbel, 2018)",2,P__GALACTUROCAT.PWY,[P] D-galacturonate degradation I,healthy
"CRC (Wirbel, 2018)",2,P__GLUCUROCAT.PWY,[P] superpathway of &beta;-D-glucuronosides degradation,healthy
"CRC (Wirbel, 2018)",2,P__GLUTORN.PWY,[P] L-ornithine biosynthesis I,healthy
"CRC (Wirbel, 2018)",2,P__PWY.5177,[P] glutaryl-CoA degradation,healthy
"CRC (Wirbel, 2018)",2,P__PWY.6507,[P] 4-deoxy-L-_threo_-hex-4-enopyranuronate degradation,healthy
"CRC (Wirbel, 2018)",1,P__PWY.7046,[P] 4-coumarate degradation (anaerobic),non-significant
"CRC (Wirbel, 2018)",2,P__PWY.7242,[P] D-fructuronate degradation,healthy
"CRC (Wirbel, 2018)",2,T__.Clostridium..symbiosum,[T] Clostridium symbiosum,disease
"CRC (Wirbel, 2018)",2,T__Agathobaculum.butyriciproducens,[T] Agathobaculum_butyriciproducens,healthy
"CRC (Wirbel, 2018)",2,T__Butyricimonas.virosa,[T] Butyricimonas_virosa,non-significant
"CRC (Wirbel, 2018)",1,T__Escherichia.coli,[T] Escherichia_coli,non-significant
"CRC (Wirbel, 2018)",2,T__Faecalibacterium.prausnitzii,[T] Faecalibacterium_prausnitzii,healthy
"CRC (Wirbel, 2018)",2,T__Oscillibacter.sp..57_20,[T] Oscillibacter sp 57_20,healthy
"CRC (Yu, 2015)",1,P__COBALSYN.PWY,[P] SP of adenosylcobalamin salvage from cobinamide I,healthy
"CRC (Yu, 2015)",1,P__GLUCUROCAT.PWY,[P] superpathway of &beta;-D-glucuronosides degradation,healthy
"CRC (Yu, 2015)",2,P__LACTOSECAT.PWY,[P] lactose and galactose degradation I,non-significant
"CRC (Yu, 2015)",1,P__P162.PWY,[P] L-glutamate degradation V (via hydroxyglutarate),disease
"CRC (Yu, 2015)",1,P__P163.PWY,[P] L-lysine fermentation to acetate and butanoate,disease
"CRC (Yu, 2015)",2,P__P164.PWY,[P] purine nucleobases degradation I (anaerobic),disease
"CRC (Yu, 2015)",2,P__PROPFERM.PWY,[P] superpathway of L-alanine fermentation (Stickland reaction),disease
"CRC (Yu, 2015)",1,P__PWY.5177,[P] glutaryl-CoA degradation,non-significant
"CRC (Yu, 2015)",2,P__PWY.5973,[P] cis-vaccenate biosynthesis,non-significant
"CRC (Yu, 2015)",1,P__PWY.6317,[P] D-galactose degradation I (Leloir pathway),healthy
"CRC (Yu, 2015)",1,P__PWY.6588,[P] pyruvate fermentation to acetone,disease
"CRC (Yu, 2015)",2,P__PWY.7663,[P] gondoate biosynthesis (anaerobic),non-significant
"CRC (Yu, 2015)",1,T__.Clostridium..symbiosum,[T] Clostridium symbiosum,disease
"CRC (Yu, 2015)",1,T__Alistipes.indistinctus,[T] Alistipes_indistinctus,disease
"CRC (Yu, 2015)",2,T__Collinsella.aerofaciens,[T] Collinsella_aerofaciens,disease
"CRC (Yu, 2015)",1,T__Dialister.pneumosintes,[T] Dialister_pneumosintes,disease
"CRC (Yu, 2015)",2,T__Dorea.formicigenerans,[T] Dorea_formicigenerans,disease
"CRC (Yu, 2015)",1,T__Eisenbergiella.massiliensis,[T] Eisenbergiella_massiliensis,disease
"CRC (Yu, 2015)",1,T__Enterocloster.citroniae,[T] Enterocloster_citroniae,disease
"CRC (Yu, 2015)",1,T__Eubacterium.ventriosum,[T] Eubacterium_ventriosum,healthy
"CRC (Yu, 2015)",1,T__Faecalibacterium.prausnitzii,[T] Faecalibacterium_prausnitzii,healthy
"CRC (Yu, 2015)",1,T__Fusicatenibacter.saccharivorans,[T] Fusicatenibacter_saccharivorans,healthy
"CRC (Yu, 2015)",2,T__Proteobacteria.bacterium.CAG.139,[T] Proteobacteria bacterium CAG 139,non-significant
"CRC (Zeller, 2014)",1,P__ARGSYN.PWY_Cluster203,[P] L-arginine biosynthesis I (via L-ornithine) [Clustered features],healthy
"CRC (Zeller, 2014)",1,P__ARGSYNBSUB.PWY,[P] L-arginine biosynthesis II (acetyl cycle),healthy
"CRC (Zeller, 2014)",1,P__ARO.PWY,[P] chorismate biosynthesis I,healthy
"CRC (Zeller, 2014)",1,P__COMPLETE.ARO.PWY,[P] superpathway of aromatic amino acid biosynthesis,healthy
"CRC (Zeller, 2014)",2,P__DAPLYSINESYN.PWY,[P] L-lysine biosynthesis I,non-significant
"CRC (Zeller, 2014)",1,P__GLUTORN.PWY,[P] L-ornithine biosynthesis I,healthy
"CRC (Zeller, 2014)",2,P__GLYCOCAT.PWY,[P] glycogen degradation I,non-significant
"CRC (Zeller, 2014)",1,P__GLYCOGENSYNTH.PWY,[P] glycogen biosynthesis I (from ADP-D-Glucose),healthy
"CRC (Zeller, 2014)",1,P__HISDEG.PWY,[P] L-histidine degradation I,disease
"CRC (Zeller, 2014)",2,P__NONMEVIPP.PWY,[P] methylerythritol phosphate pathway I,healthy
"CRC (Zeller, 2014)",2,P__P124.PWY,[P] glucose fermentation to lactic acid (Bifidobacteria),non-significant
"CRC (Zeller, 2014)",3,P__P161.PWY,[P] acetylene degradation (anaerobic),disease
"CRC (Zeller, 2014)",4,P__P162.PWY,[P] L-glutamate degradation V (via hydroxyglutarate),disease
"CRC (Zeller, 2014)",3,P__P164.PWY,[P] purine nucleobases degradation I (anaerobic),non-significant
"CRC (Zeller, 2014)",3,P__P221.PWY,[P] octane oxidation,disease
"CRC (Zeller, 2014)",2,P__P4.PWY,"[P] superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",non-significant
"CRC (Zeller, 2014)",2,P__PWY.5384,[P] sucrose degradation IV (sucrose phosphorylase),non-significant
"CRC (Zeller, 2014)",2,P__PWY.5913,[P] partial TCA cycle (obligate autotrophs),non-significant
"CRC (Zeller, 2014)",1,P__PWY.6151,[P] _S_-adenosyl-L-methionine salvage I,healthy
"CRC (Zeller, 2014)",2,P__PWY.622,[P] starch biosynthesis,non-significant
"CRC (Zeller, 2014)",1,P__PWY.6317,[P] D-galactose degradation I (Leloir pathway),healthy
"CRC (Zeller, 2014)",3,P__PWY.6876,[P] isopropanol biosynthesis (engineered),disease
"CRC (Zeller, 2014)",3,P__PWY.7003,[P] glycerol degradation to butanol,non-significant
"CRC (Zeller, 2014)",3,P__PWY.7013,"[P] (S)-propane-1,2-diol degradation",non-significant
"CRC (Zeller, 2014)",2,P__PWY.7209,[P] superpathway of pyrimidine ribonucleosides degradation,non-significant
"CRC (Zeller, 2014)",2,P__PWY.7560,[P] methylerythritol phosphate pathway II,healthy
"CRC (Zeller, 2014)",2,P__PWY0.781,[P] aspartate superpathway,non-significant
"CRC (Zeller, 2014)",1,P__TRPSYN.PWY,[P] L-tryptophan biosynthesis,healthy
"CRC (Zeller, 2014)",3,T__.Clostridium..innocuum,[T] Clostridium innocuum,non-significant
"CRC (Zeller, 2014)",1,T__.Clostridium..symbiosum,[T] Clostridium symbiosum,disease
"CRC (Zeller, 2014)",1,T__.Eubacterium..rectale,[T] Eubacterium rectale,healthy
"CRC (Zeller, 2014)",3,T__.Ruminococcus..gnavus,[T] Ruminococcus gnavus,non-significant
"CRC (Zeller, 2014)",2,T__.Ruminococcus..lactaris,[T] Ruminococcus lactaris,non-significant
"CRC (Zeller, 2014)",1,T__Anaerobutyricum.hallii,[T] Anaerobutyricum_hallii,healthy
"CRC (Zeller, 2014)",2,T__Bifidobacterium.adolescentis,[T] Bifidobacterium_adolescentis,non-significant
"CRC (Zeller, 2014)",3,T__Bifidobacterium.dentium,[T] Bifidobacterium_dentium,non-significant
"CRC (Zeller, 2014)",2,T__Bifidobacterium.longum,[T] Bifidobacterium_longum,healthy
"CRC (Zeller, 2014)",2,T__Bifidobacterium.pseudocatenulatum,[T] Bifidobacterium_pseudocatenulatum,non-significant
"CRC (Zeller, 2014)",1,T__Coprococcus.eutactus,[T] Coprococcus_eutactus,non-significant
"CRC (Zeller, 2014)",2,T__Dorea.longicatena,[T] Dorea_longicatena,non-significant
"CRC (Zeller, 2014)",3,T__Enterocloster.bolteae,[T] Enterocloster_bolteae,non-significant
"CRC (Zeller, 2014)",3,T__Enterocloster.clostridioformis,[T] Enterocloster_clostridioformis,non-significant
"CRC (Zeller, 2014)",3,T__Flavonifractor.plautii,[T] Flavonifractor_plautii,disease
"CRC (Zeller, 2014)",1,T__Fusicatenibacter.saccharivorans,[T] Fusicatenibacter_saccharivorans,healthy
"CRC (Zeller, 2014)",4,T__Fusobacterium.nucleatum,[T] Fusobacterium_nucleatum,disease
"CRC (Zeller, 2014)",4,T__Gemella.morbillorum,[T] Gemella_morbillorum,disease
"CRC (Zeller, 2014)",3,T__Hafnia.alvei,[T] Hafnia_alvei,non-significant
"CRC (Zeller, 2014)",3,T__Hungatella.hathewayi,[T] Hungatella_hathewayi,disease
"CRC (Zeller, 2014)",1,T__Lachnospira.eligens,[T] Lachnospira_eligens,healthy
"CRC (Zeller, 2014)",4,T__Peptostreptococcus.stomatis,[T] Peptostreptococcus_stomatis,disease
"CRC (Zeller, 2014)",1,T__Ruminococcus.bromii,[T] Ruminococcus_bromii,healthy
