Dataset,Feature set,Original feature name,Cluster ID,Cluster representative (randomly selected),Metagenomics transformation
cd_franzosa_2019,P,P__PWY.6519,11,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster11,Relative abundances
cd_franzosa_2019,P,P__BRANCHED.CHAIN.AA.SYN.PWY,12,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster12,Relative abundances
cd_franzosa_2019,P,P__ILEUSYN.PWY,12,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster12,Relative abundances
cd_franzosa_2019,P,P__CENTFERM.PWY,14,P__CENTFERM.PWY_Cluster14,Relative abundances
cd_franzosa_2019,P,P__PWY.6590,14,P__CENTFERM.PWY_Cluster14,Relative abundances
cd_franzosa_2019,P,P__FASYN.ELONG.PWY,25,P__FASYN.ELONG.PWY_Cluster25,Relative abundances
cd_franzosa_2019,P,P__PWY.6282,25,P__FASYN.ELONG.PWY_Cluster25,Relative abundances
cd_franzosa_2019,P,P__PWY.7664,25,P__FASYN.ELONG.PWY_Cluster25,Relative abundances
cd_franzosa_2019,P,P__PWY0.862,25,P__FASYN.ELONG.PWY_Cluster25,Relative abundances
cd_franzosa_2019,P,P__FOLSYN.PWY,28,P__FOLSYN.PWY_Cluster28,Relative abundances
cd_franzosa_2019,P,P__PWY.6612,28,P__FOLSYN.PWY_Cluster28,Relative abundances
cd_franzosa_2019,P,P__GALACTARDEG.PWY,32,P__GALACTARDEG.PWY_Cluster32,Relative abundances
cd_franzosa_2019,P,P__GLUCARGALACTSUPER.PWY,32,P__GALACTARDEG.PWY_Cluster32,Relative abundances
cd_franzosa_2019,P,P__HCAMHPDEG.PWY,49,P__HCAMHPDEG.PWY_Cluster49,Relative abundances
cd_franzosa_2019,P,P__PWY.6690,49,P__HCAMHPDEG.PWY_Cluster49,Relative abundances
cd_franzosa_2019,P,P__PWY0.1277,49,P__HCAMHPDEG.PWY_Cluster49,Relative abundances
cd_franzosa_2019,P,P__MET.SAM.PWY,64,P__MET.SAM.PWY_Cluster64,Relative abundances
cd_franzosa_2019,P,P__METSYN.PWY,64,P__MET.SAM.PWY_Cluster64,Relative abundances
cd_franzosa_2019,P,P__PWY.5347,64,P__MET.SAM.PWY_Cluster64,Relative abundances
cd_franzosa_2019,P,P__P41.PWY,80,P__P41.PWY_Cluster80,Relative abundances
cd_franzosa_2019,P,P__PWY.5100,80,P__P41.PWY_Cluster80,Relative abundances
cd_franzosa_2019,P,P__PWY.5686,125,P__PWY.5686_Cluster125,Relative abundances
cd_franzosa_2019,P,P__PWY.7790,125,P__PWY.5686_Cluster125,Relative abundances
cd_franzosa_2019,P,P__PWY.7791,125,P__PWY.5686_Cluster125,Relative abundances
cd_franzosa_2019,P,P__PWY.5838,130,P__PWY.5838_Cluster130,Relative abundances
cd_franzosa_2019,P,P__PWY.5861,130,P__PWY.5838_Cluster130,Relative abundances
cd_franzosa_2019,P,P__PWY.5845,132,P__PWY.5845_Cluster132,Relative abundances
cd_franzosa_2019,P,P__PWY.5862,132,P__PWY.5845_Cluster132,Relative abundances
cd_franzosa_2019,P,P__PWY.5850,133,P__PWY.5850_Cluster133,Relative abundances
cd_franzosa_2019,P,P__PWY.5860,133,P__PWY.5850_Cluster133,Relative abundances
cd_franzosa_2019,P,P__PWY.5896,133,P__PWY.5850_Cluster133,Relative abundances
cd_franzosa_2019,P,P__PWY.5897,135,P__PWY.5897_Cluster135,Relative abundances
cd_franzosa_2019,P,P__PWY.5898,135,P__PWY.5897_Cluster135,Relative abundances
cd_franzosa_2019,P,P__PWY.5899,135,P__PWY.5897_Cluster135,Relative abundances
cd_franzosa_2019,P,P__PWY.6122,147,P__PWY.6122_Cluster147,Relative abundances
cd_franzosa_2019,P,P__PWY.6277,147,P__PWY.6122_Cluster147,Relative abundances
cd_franzosa_2019,P,P__PWY.6125,149,P__PWY.6125_Cluster149,Relative abundances
cd_franzosa_2019,P,P__PWY.7228,149,P__PWY.6125_Cluster149,Relative abundances
cd_franzosa_2019,P,P__PWY.6386,163,P__PWY.6386_Cluster163,Relative abundances
cd_franzosa_2019,P,P__PWY.6387,163,P__PWY.6386_Cluster163,Relative abundances
cd_franzosa_2019,P,P__PWY.7220,201,P__PWY.7220_Cluster201,Relative abundances
cd_franzosa_2019,P,P__PWY.7222,201,P__PWY.7220_Cluster201,Relative abundances
cd_franzosa_2019,P,P__PWY.7371,213,P__PWY.7371_Cluster213,Relative abundances
cd_franzosa_2019,P,P__PWY.7992,213,P__PWY.7371_Cluster213,Relative abundances
cd_franzosa_2019,P,P__PWY4FS.7,258,P__PWY4FS.7_Cluster258,Relative abundances
cd_franzosa_2019,P,P__PWY4FS.8,258,P__PWY4FS.7_Cluster258,Relative abundances
cd_franzosa_2019,M,M__C18.neg_Cluster_0354..arachidonic.acid,23,M__C18.neg_Cluster_0354..arachidonic.acid_Cluster23,N/A
cd_franzosa_2019,M,M__C18.neg_Cluster_0709..arachidonic.acid,23,M__C18.neg_Cluster_0354..arachidonic.acid_Cluster23,N/A
cd_franzosa_2019,M,M__C18.neg_Cluster_0863..docosapentaenoic.acid,42,M__C18.neg_Cluster_0863..docosapentaenoic.acid_Cluster42,N/A
cd_franzosa_2019,M,M__C18.neg_Cluster_1324..docosapentaenoic.acid,42,M__C18.neg_Cluster_0863..docosapentaenoic.acid_Cluster42,N/A
cd_franzosa_2019,M,M__C18.neg_Cluster_0930..cholate,46,M__C18.neg_Cluster_0930..cholate_Cluster46,N/A
cd_franzosa_2019,M,M__C18.neg_Cluster_1258..cholate,46,M__C18.neg_Cluster_0930..cholate_Cluster46,N/A
cd_franzosa_2019,M,M__C18.neg_Cluster_1372..cholate,58,M__C18.neg_Cluster_1372..cholate_Cluster58,N/A
cd_franzosa_2019,M,M__C18.neg_Cluster_1621..cholate,58,M__C18.neg_Cluster_1372..cholate_Cluster58,N/A
cd_franzosa_2019,M,M__HILIC.pos_Cluster_0038..N.acetylputrescine,361,M__HILIC.pos_Cluster_0038..N.acetylputrescine_Cluster361,N/A
cd_franzosa_2019,M,M__HILIC.pos_Cluster_0086..N.acetylputrescine,361,M__HILIC.pos_Cluster_0038..N.acetylputrescine_Cluster361,N/A
cd_franzosa_2019,M,M__HILIC.pos_Cluster_0079..pyroglutamic.acid,369,M__HILIC.pos_Cluster_0079..pyroglutamic.acid_Cluster369,N/A
cd_franzosa_2019,M,M__HILIC.pos_Cluster_0156..glutamine,369,M__HILIC.pos_Cluster_0079..pyroglutamic.acid_Cluster369,N/A
cd_franzosa_2019,All,T__Streptococcus_parasanguinis,60,T__Streptococcus_parasanguinis_Cluster60,Relative abundances
cd_franzosa_2019,All,T__Haemophilus_parainfluenzae,60,T__Streptococcus_parasanguinis_Cluster60,Relative abundances
cd_franzosa_2019,All,T__Eubacterium_dolichum_CAG_375,73,T__Eubacterium_dolichum_CAG_375_Cluster73,Relative abundances
cd_franzosa_2019,All,T__Absiella_dolichum,73,T__Eubacterium_dolichum_CAG_375_Cluster73,Relative abundances
cd_franzosa_2019,All,G__K00333,246,G__K00333_Cluster246,Relative abundances
cd_franzosa_2019,All,G__K01447,246,G__K00333_Cluster246,Relative abundances
cd_franzosa_2019,All,G__K02022,246,G__K00333_Cluster246,Relative abundances
cd_franzosa_2019,All,G__K09819,246,G__K00333_Cluster246,Relative abundances
cd_franzosa_2019,All,G__K01858,701,G__K01858_Cluster701,Relative abundances
cd_franzosa_2019,All,G__K16148,701,G__K01858_Cluster701,Relative abundances
cd_franzosa_2019,All,G__K02339,886,G__K02339_Cluster886,Relative abundances
cd_franzosa_2019,All,G__K05775,886,G__K02339_Cluster886,Relative abundances
cd_franzosa_2019,All,G__K02671,985,G__K02671_Cluster985,Relative abundances
cd_franzosa_2019,All,G__K07768,985,G__K02671_Cluster985,Relative abundances
cd_franzosa_2019,All,G__K02755,994,G__K02755_Cluster994,Relative abundances
cd_franzosa_2019,All,G__K02756,994,G__K02755_Cluster994,Relative abundances
cd_franzosa_2019,All,G__K02757,994,G__K02755_Cluster994,Relative abundances
cd_franzosa_2019,All,G__K02799,1014,G__K02799_Cluster1014,Relative abundances
cd_franzosa_2019,All,G__K02800,1014,G__K02799_Cluster1014,Relative abundances
cd_franzosa_2019,All,G__K02803,1015,G__K02803_Cluster1015,Relative abundances
cd_franzosa_2019,All,G__K02804,1015,G__K02803_Cluster1015,Relative abundances
cd_franzosa_2019,All,G__K02809,1018,G__K02809_Cluster1018,Relative abundances
cd_franzosa_2019,All,G__K02810,1018,G__K02809_Cluster1018,Relative abundances
cd_franzosa_2019,All,G__K03090,1105,G__K03090_Cluster1105,Relative abundances
cd_franzosa_2019,All,G__K14086,1105,G__K03090_Cluster1105,Relative abundances
cd_franzosa_2019,All,G__K03764,1356,G__K03764_Cluster1356,Relative abundances
cd_franzosa_2019,All,G__K15724,1356,G__K03764_Cluster1356,Relative abundances
cd_franzosa_2019,All,G__K07666,1817,G__K07666_Cluster1817,Relative abundances
cd_franzosa_2019,All,G__K15833,1817,G__K07666_Cluster1817,Relative abundances
cd_franzosa_2019,All,G__K13787,2088,G__K13787_Cluster2088,Relative abundances
cd_franzosa_2019,All,G__K22306,2088,G__K13787_Cluster2088,Relative abundances
cd_franzosa_2019,All,G__K14065,2096,G__K14065_Cluster2096,Relative abundances
cd_franzosa_2019,All,G__K19000,2096,G__K14065_Cluster2096,Relative abundances
cd_franzosa_2019,All,G__K20116,2234,G__K20116_Cluster2234,Relative abundances
cd_franzosa_2019,All,G__K20117,2234,G__K20116_Cluster2234,Relative abundances
cd_franzosa_2019,All,G__K20118,2234,G__K20116_Cluster2234,Relative abundances
cd_franzosa_2019,All,P__ARGDEG.PWY,2290,P__ARGDEG.PWY_Cluster2290,Relative abundances
cd_franzosa_2019,All,P__ORNARGDEG.PWY,2290,P__ARGDEG.PWY_Cluster2290,Relative abundances
cd_franzosa_2019,All,P__ARGSYN.PWY,2291,P__ARGSYN.PWY_Cluster2291,Relative abundances
cd_franzosa_2019,All,P__ARGSYNBSUB.PWY,2291,P__ARGSYN.PWY_Cluster2291,Relative abundances
cd_franzosa_2019,All,P__BIOTIN.BIOSYNTHESIS.PWY,2295,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster2295,Relative abundances
cd_franzosa_2019,All,P__PWY.6519,2295,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster2295,Relative abundances
cd_franzosa_2019,All,P__BRANCHED.CHAIN.AA.SYN.PWY,2296,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster2296,Relative abundances
cd_franzosa_2019,All,P__ILEUSYN.PWY,2296,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster2296,Relative abundances
cd_franzosa_2019,All,P__CENTFERM.PWY,2298,P__CENTFERM.PWY_Cluster2298,Relative abundances
cd_franzosa_2019,All,P__PWY.6590,2298,P__CENTFERM.PWY_Cluster2298,Relative abundances
cd_franzosa_2019,All,P__FASYN.ELONG.PWY,2309,P__FASYN.ELONG.PWY_Cluster2309,Relative abundances
cd_franzosa_2019,All,P__PWY.6282,2309,P__FASYN.ELONG.PWY_Cluster2309,Relative abundances
cd_franzosa_2019,All,P__PWY.7664,2309,P__FASYN.ELONG.PWY_Cluster2309,Relative abundances
cd_franzosa_2019,All,P__PWY0.862,2309,P__FASYN.ELONG.PWY_Cluster2309,Relative abundances
cd_franzosa_2019,All,P__FOLSYN.PWY,2312,P__FOLSYN.PWY_Cluster2312,Relative abundances
cd_franzosa_2019,All,P__PWY.6612,2312,P__FOLSYN.PWY_Cluster2312,Relative abundances
cd_franzosa_2019,All,P__GALACTARDEG.PWY,2316,P__GALACTARDEG.PWY_Cluster2316,Relative abundances
cd_franzosa_2019,All,P__GLUCARGALACTSUPER.PWY,2316,P__GALACTARDEG.PWY_Cluster2316,Relative abundances
cd_franzosa_2019,All,P__HCAMHPDEG.PWY,2333,P__HCAMHPDEG.PWY_Cluster2333,Relative abundances
cd_franzosa_2019,All,P__PWY.6690,2333,P__HCAMHPDEG.PWY_Cluster2333,Relative abundances
cd_franzosa_2019,All,P__PWY0.1277,2333,P__HCAMHPDEG.PWY_Cluster2333,Relative abundances
cd_franzosa_2019,All,P__MET.SAM.PWY,2348,P__MET.SAM.PWY_Cluster2348,Relative abundances
cd_franzosa_2019,All,P__METSYN.PWY,2348,P__MET.SAM.PWY_Cluster2348,Relative abundances
cd_franzosa_2019,All,P__PWY.5347,2348,P__MET.SAM.PWY_Cluster2348,Relative abundances
cd_franzosa_2019,All,P__P41.PWY,2364,P__P41.PWY_Cluster2364,Relative abundances
cd_franzosa_2019,All,P__PWY.5100,2364,P__P41.PWY_Cluster2364,Relative abundances
cd_franzosa_2019,All,P__PWY.5667,2405,P__PWY.5667_Cluster2405,Relative abundances
cd_franzosa_2019,All,P__PWY0.1319,2405,P__PWY.5667_Cluster2405,Relative abundances
cd_franzosa_2019,All,P__PWY.5686,2409,P__PWY.5686_Cluster2409,Relative abundances
cd_franzosa_2019,All,P__PWY.7790,2409,P__PWY.5686_Cluster2409,Relative abundances
cd_franzosa_2019,All,P__PWY.7791,2409,P__PWY.5686_Cluster2409,Relative abundances
cd_franzosa_2019,All,P__PWY.5838,2414,P__PWY.5838_Cluster2414,Relative abundances
cd_franzosa_2019,All,P__PWY.5861,2414,P__PWY.5838_Cluster2414,Relative abundances
cd_franzosa_2019,All,P__PWY.5845,2416,P__PWY.5845_Cluster2416,Relative abundances
cd_franzosa_2019,All,P__PWY.5862,2416,P__PWY.5845_Cluster2416,Relative abundances
cd_franzosa_2019,All,P__PWY.5850,2417,P__PWY.5850_Cluster2417,Relative abundances
cd_franzosa_2019,All,P__PWY.5860,2417,P__PWY.5850_Cluster2417,Relative abundances
cd_franzosa_2019,All,P__PWY.5896,2417,P__PWY.5850_Cluster2417,Relative abundances
cd_franzosa_2019,All,P__PWY.5897,2419,P__PWY.5897_Cluster2419,Relative abundances
cd_franzosa_2019,All,P__PWY.5898,2419,P__PWY.5897_Cluster2419,Relative abundances
cd_franzosa_2019,All,P__PWY.5899,2419,P__PWY.5897_Cluster2419,Relative abundances
cd_franzosa_2019,All,P__PWY.6122,2431,P__PWY.6122_Cluster2431,Relative abundances
cd_franzosa_2019,All,P__PWY.6277,2431,P__PWY.6122_Cluster2431,Relative abundances
cd_franzosa_2019,All,P__PWY.6125,2433,P__PWY.6125_Cluster2433,Relative abundances
cd_franzosa_2019,All,P__PWY.7228,2433,P__PWY.6125_Cluster2433,Relative abundances
cd_franzosa_2019,All,P__PWY.6386,2447,P__PWY.6386_Cluster2447,Relative abundances
cd_franzosa_2019,All,P__PWY.6387,2447,P__PWY.6386_Cluster2447,Relative abundances
cd_franzosa_2019,All,P__PWY.7094,2473,P__PWY.7094_Cluster2473,Relative abundances
cd_franzosa_2019,All,P__PWY0.1337,2473,P__PWY.7094_Cluster2473,Relative abundances
cd_franzosa_2019,All,P__PWY.7220,2485,P__PWY.7220_Cluster2485,Relative abundances
cd_franzosa_2019,All,P__PWY.7222,2485,P__PWY.7220_Cluster2485,Relative abundances
cd_franzosa_2019,All,P__PWY.7371,2497,P__PWY.7371_Cluster2497,Relative abundances
cd_franzosa_2019,All,P__PWY.7992,2497,P__PWY.7371_Cluster2497,Relative abundances
cd_franzosa_2019,All,P__PWY.7807,2507,P__PWY.7807_Cluster2507,Relative abundances
cd_franzosa_2019,All,P__PWY0.1533,2507,P__PWY.7807_Cluster2507,Relative abundances
cd_franzosa_2019,All,P__PWY4FS.7,2542,P__PWY4FS.7_Cluster2542,Relative abundances
cd_franzosa_2019,All,P__PWY4FS.8,2542,P__PWY4FS.7_Cluster2542,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_0354..arachidonic.acid,2583,M__C18.neg_Cluster_0354..arachidonic.acid_Cluster2583,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_0709..arachidonic.acid,2583,M__C18.neg_Cluster_0354..arachidonic.acid_Cluster2583,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_0863..docosapentaenoic.acid,2602,M__C18.neg_Cluster_0863..docosapentaenoic.acid_Cluster2602,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_1324..docosapentaenoic.acid,2602,M__C18.neg_Cluster_0863..docosapentaenoic.acid_Cluster2602,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_0930..cholate,2606,M__C18.neg_Cluster_0930..cholate_Cluster2606,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_1258..cholate,2606,M__C18.neg_Cluster_0930..cholate_Cluster2606,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_1372..cholate,2618,M__C18.neg_Cluster_1372..cholate_Cluster2618,Relative abundances
cd_franzosa_2019,All,M__C18.neg_Cluster_1621..cholate,2618,M__C18.neg_Cluster_1372..cholate_Cluster2618,Relative abundances
cd_franzosa_2019,All,M__HILIC.pos_Cluster_0038..N.acetylputrescine,2921,M__HILIC.pos_Cluster_0038..N.acetylputrescine_Cluster2921,Relative abundances
cd_franzosa_2019,All,M__HILIC.pos_Cluster_0086..N.acetylputrescine,2921,M__HILIC.pos_Cluster_0038..N.acetylputrescine_Cluster2921,Relative abundances
cd_franzosa_2019,All,M__HILIC.pos_Cluster_0079..pyroglutamic.acid,2929,M__HILIC.pos_Cluster_0079..pyroglutamic.acid_Cluster2929,Relative abundances
cd_franzosa_2019,All,M__HILIC.pos_Cluster_0156..glutamine,2929,M__HILIC.pos_Cluster_0079..pyroglutamic.acid_Cluster2929,Relative abundances
cdi_schubert_16s_2014,P,P__BIOTIN.BIOSYNTHESIS.PWY,12,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster12,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.6519,12,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster12,Relative abundances
cdi_schubert_16s_2014,P,P__BRANCHED.CHAIN.AA.SYN.PWY,13,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster13,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5101,13,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster13,Relative abundances
cdi_schubert_16s_2014,P,P__CATECHOL.ORTHO.CLEAVAGE.PWY,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5181,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5417,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5431,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.6071,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.6182,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.6185,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__PWY0.321,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cdi_schubert_16s_2014,P,P__CENTFERM.PWY,16,P__CENTFERM.PWY_Cluster16,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.6590,16,P__CENTFERM.PWY_Cluster16,Relative abundances
cdi_schubert_16s_2014,P,P__FOLSYN.PWY,30,P__FOLSYN.PWY_Cluster30,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.6612,30,P__FOLSYN.PWY_Cluster30,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5667,115,P__PWY.5667_Cluster115,Relative abundances
cdi_schubert_16s_2014,P,P__PWY0.1319,115,P__PWY.5667_Cluster115,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5838,123,P__PWY.5838_Cluster123,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5840,123,P__PWY.5838_Cluster123,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5861,123,P__PWY.5838_Cluster123,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5897,123,P__PWY.5838_Cluster123,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5898,123,P__PWY.5838_Cluster123,Relative abundances
cdi_schubert_16s_2014,P,P__PWY.5899,123,P__PWY.5838_Cluster123,Relative abundances
cirrhosis_qin_2014,G,G__K00627,133,G__K00627_Cluster133,Relative abundances
cirrhosis_qin_2014,G,G__K02022,133,G__K00627_Cluster133,Relative abundances
cirrhosis_qin_2014,G,G__K00663,145,G__K00663_Cluster145,Relative abundances
cirrhosis_qin_2014,G,G__K17910,145,G__K00663_Cluster145,Relative abundances
cirrhosis_qin_2014,G,G__K00936,228,G__K00936_Cluster228,Relative abundances
cirrhosis_qin_2014,G,G__K01585,228,G__K00936_Cluster228,Relative abundances
cirrhosis_qin_2014,G,G__K02755,748,G__K02755_Cluster748,Relative abundances
cirrhosis_qin_2014,G,G__K02756,748,G__K02755_Cluster748,Relative abundances
cirrhosis_qin_2014,G,G__K02757,748,G__K02755_Cluster748,Relative abundances
cirrhosis_qin_2014,G,G__K02799,765,G__K02799_Cluster765,Relative abundances
cirrhosis_qin_2014,G,G__K02800,765,G__K02799_Cluster765,Relative abundances
cirrhosis_qin_2014,G,G__K02803,766,G__K02803_Cluster766,Relative abundances
cirrhosis_qin_2014,G,G__K02804,766,G__K02803_Cluster766,Relative abundances
cirrhosis_qin_2014,G,G__K02808,768,G__K02808_Cluster768,Relative abundances
cirrhosis_qin_2014,G,G__K03346,768,G__K02808_Cluster768,Relative abundances
cirrhosis_qin_2014,G,G__K02809,769,G__K02809_Cluster769,Relative abundances
cirrhosis_qin_2014,G,G__K02810,769,G__K02809_Cluster769,Relative abundances
cirrhosis_qin_2014,G,G__K06148,1268,G__K06148_Cluster1268,Relative abundances
cirrhosis_qin_2014,G,G__K06899,1268,G__K06148_Cluster1268,Relative abundances
cirrhosis_qin_2014,G,G__K07121,1426,G__K07121_Cluster1426,Relative abundances
cirrhosis_qin_2014,G,G__K09895,1426,G__K07121_Cluster1426,Relative abundances
cirrhosis_qin_2014,P,P__ARGDEG.PWY,6,P__ARGDEG.PWY_Cluster6,Relative abundances
cirrhosis_qin_2014,P,P__ORNARGDEG.PWY,6,P__ARGDEG.PWY_Cluster6,Relative abundances
cirrhosis_qin_2014,P,P__ARGSYN.PWY,7,P__ARGSYN.PWY_Cluster7,Relative abundances
cirrhosis_qin_2014,P,P__PWY.7400,7,P__ARGSYN.PWY_Cluster7,Relative abundances
cirrhosis_qin_2014,P,P__BIOTIN.BIOSYNTHESIS.PWY,12,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster12,Relative abundances
cirrhosis_qin_2014,P,P__PWY.6519,12,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster12,Relative abundances
cirrhosis_qin_2014,P,P__BRANCHED.CHAIN.AA.SYN.PWY,13,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster13,Relative abundances
cirrhosis_qin_2014,P,P__PWY.5103,13,P__BRANCHED.CHAIN.AA.SYN.PWY_Cluster13,Relative abundances
cirrhosis_qin_2014,P,P__CATECHOL.ORTHO.CLEAVAGE.PWY,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cirrhosis_qin_2014,P,P__PWY.5417,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cirrhosis_qin_2014,P,P__PWY.5431,15,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster15,Relative abundances
cirrhosis_qin_2014,P,P__CENTFERM.PWY,16,P__CENTFERM.PWY_Cluster16,Relative abundances
cirrhosis_qin_2014,P,P__PWY.6590,16,P__CENTFERM.PWY_Cluster16,Relative abundances
cirrhosis_qin_2014,P,P__FASYN.ELONG.PWY,27,P__FASYN.ELONG.PWY_Cluster27,Relative abundances
cirrhosis_qin_2014,P,P__PWY.5989,27,P__FASYN.ELONG.PWY_Cluster27,Relative abundances
cirrhosis_qin_2014,P,P__PWY.6282,27,P__FASYN.ELONG.PWY_Cluster27,Relative abundances
cirrhosis_qin_2014,P,P__PWY.7664,27,P__FASYN.ELONG.PWY_Cluster27,Relative abundances
cirrhosis_qin_2014,P,P__PWY0.862,27,P__FASYN.ELONG.PWY_Cluster27,Relative abundances
cirrhosis_qin_2014,P,P__FOLSYN.PWY,30,P__FOLSYN.PWY_Cluster30,Relative abundances
cirrhosis_qin_2014,P,P__PWY.6612,30,P__FOLSYN.PWY_Cluster30,Relative abundances
cirrhosis_qin_2014,P,P__GALACTARDEG.PWY,34,P__GALACTARDEG.PWY_Cluster34,Relative abundances
