Dataset,Module,Module size,Module AUC,Average shuffled module AUC (Null model),SD shuffled module AUC (Null model),Average inter-view correlations,Average shuffled inter-view correlations (Null model),SD shuffled inter-view correlations (Null model),All modules AUC (Random Forest) - cross-validation average,All modules AUC (Random Forest) - cross-validation SD,Pipeline settings
"STH (Rubel, 2020)",3,9,0.726,0.612,0.021,0.2982536176892626,0.11729363742564815,0.03177572411300595,0.809,0.10980171321825614,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"STH (Rubel, 2020)",4,10,0.645,0.61,0.027,0.466959629096173,0.11926650366538001,0.03006032939379539,0.809,0.10980171321825614,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"T2D (Karlsson, 2013)",1,4,0.666,0.66,0.022,0.37336572163055426,0.108130281100247,0.05748264137670781,0.726,0.1702379188006845,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"T2D (Karlsson, 2013)",2,14,0.658,0.657,0.017,0.1993809212760178,0.1155097680636352,0.019814175731571727,0.726,0.1702379188006845,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"T2D (Karlsson, 2013)",3,3,0.72,0.66,0.023,0.45962142497968905,0.10254710525667812,0.057328279994424386,0.726,0.1702379188006845,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"T2D (Karlsson, 2013)",4,5,0.724,0.665,0.022,0.40835220225607105,0.10192727950393761,0.042211101590797134,0.726,0.1702379188006845,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
T2D (MetaCardis),1,21,0.861,0.711,0.059,0.3143688448422618,0.10138488780466734,0.011845421318725848,0.955,0.05201240614272514,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
T2D (MetaCardis),2,7,0.657,0.674,0.056,0.1660091771951216,0.11675496588207607,0.0340116207597291,0.955,0.05201240614272514,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
T2D (MetaCardis),3,9,0.678,0.679,0.045,0.138566566345169,0.15240229088765522,0.04153448608960964,0.955,0.05201240614272514,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
T2D (MetaCardis),4,5,0.609,0.67,0.04,0.7155883765880962,0.16049037298815907,0.07287103795647597,0.955,0.05201240614272514,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
"UC (Franzosa, 2019)",1,27,0.908,0.765,0.045,0.39541375644035215,0.1405963810889042,0.014487152000892218,0.885,0.11991407878003008,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
"UC (Franzosa, 2019)",2,29,0.725,0.764,0.046,0.2006480615137645,0.14177387679221803,0.014689937915357712,0.885,0.11991407878003008,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
"UC (Franzosa, 2019)",3,9,0.809,0.71,0.041,0.31425303334080656,0.143630831977436,0.03314715508719161,0.885,0.11991407878003008,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
"UC (Franzosa, 2019)",4,8,0.703,0.714,0.045,0.3343673142247385,0.14335829959715618,0.043227927237404026,0.885,0.11991407878003008,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
"UC (Nielsen, 2014)",1,12,0.641,0.64,0.017,0.24633341923361635,0.1293073028997722,0.025646703526860812,0.677,0.17400584539432715,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"UC (Nielsen, 2014)",2,3,0.622,0.633,0.017,0.5679055540500522,0.1189552295610015,0.0724131198768997,0.677,0.17400584539432715,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"UC (Nielsen, 2014)",3,3,0.664,0.638,0.018,0.25563134387668884,0.14216794629031773,0.08982198470202941,0.677,0.17400584539432715,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"UC (Nielsen, 2014)",4,5,0.757,0.637,0.018,0.2224931111549786,0.1339552405349718,0.05562353108586215,0.677,0.17400584539432715,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
