Dataset,Module,Feature.X,Feature.Y,Spearman rho,Spearman p-value,Spearman FDR
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,M__HILIC.pos_Cluster_2093..urobilin.,0.703844546129636,0,0
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,P__NONMEVIPP.PWY,0.7821351932878495,0,0
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,P__PWY.6163,0.7040220298443323,0,0
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,P__PWY.6292,0.4601909522468145,1.1370362049678562e-6,3.187951976545391e-6
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,P__PWY.6385,0.6290549671757582,1.439293129124053e-12,1.028066520802895e-11
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,P__PWY.6700,0.7167106773498595,0,0
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,P__PWY.7953,0.6849777496310453,1.9984014443252818e-15,1.7632953920517194e-14
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,T__Alistipes_shahii,0.508110222251265,4.9940547253157774e-8,1.6601010017208155e-7
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,T__Asaccharobacter_celatus,0.593802346943199,4.767652939108302e-11,2.6005379667863463e-10
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,T__Coprococcus_catus,0.47644995131601825,4.1515822224447163e-7,1.1975717949359758e-6
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,T__Enterorhabdus_caecimuris,0.5444061594225832,3.3289797585212e-9,1.3870748993838335e-8
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,T__Gemmiger_formicilis,0.4849785189739269,2.39610555619052e-7,7.26092592785006e-7
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,T__Roseburia_hominis,0.5079922936550806,5.0356397052198076e-8,1.6601010017208155e-7
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,M__C18.neg_Cluster_2021..urobilin,0.7007455618813622,2.220446049250313e-16,2.1488187573390127e-15
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,M__HILIC.neg_Cluster_0441..sebacate,0.5816906983319197,1.442610475521633e-10,7.461778321663619e-10
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,M__HILIC.pos_Cluster_2093..urobilin.,0.6935719940225002,6.661338147750939e-16,6.2450045135165055e-15
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,P__HISTSYN.PWY,0.7821351932878495,0,0
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,P__PWY.6163,0.8496272275204227,0,0
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,P__PWY.6292,0.4284450098953916,7.043533034156724e-6,1.8535613247780852e-5
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,P__PWY.6385,0.7905773520604058,0,0
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,P__PWY.6700,0.763464055801593,0,0
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,P__PWY.7953,0.8278461186176185,0,0
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,T__Alistipes_shahii,0.5356685564182764,6.579966571607088e-9,2.563623339587177e-8
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,T__Asaccharobacter_celatus,0.5369370147281204,5.9674247765428845e-9,2.355562411793244e-8
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,T__Coprococcus_catus,0.45928342057451044,1.2009904779564096e-6,3.3360846609900265e-6
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,T__Enterorhabdus_caecimuris,0.5279493991455204,1.1823141132794035e-8,4.2708845983595115e-8
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,T__Gemmiger_formicilis,0.5645949827485843,6.385740825010089e-10,2.9472649961585025e-9
"CD (Franzosa, 2019)",module1,P__NONMEVIPP.PWY,T__Roseburia_hominis,0.5754235436134937,2.513673713622211e-10,1.2568368568111055e-9
"CD (Franzosa, 2019)",module1,P__PWY.6163,M__C18.neg_Cluster_2021..urobilin,0.6653212642739074,2.398081733190338e-14,1.8932224209397407e-13
"CD (Franzosa, 2019)",module1,P__PWY.6163,M__HILIC.neg_Cluster_0441..sebacate,0.5724496113972232,3.2581937148279394e-10,1.6023903515547244e-9
"CD (Franzosa, 2019)",module1,P__PWY.6163,M__HILIC.pos_Cluster_2093..urobilin.,0.6886867533502792,1.3322676295501878e-15,1.2111523905001708e-14
"CD (Franzosa, 2019)",module1,P__PWY.6163,P__HISTSYN.PWY,0.7040220298443323,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6163,P__NONMEVIPP.PWY,0.8496272275204227,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6163,P__PWY.6292,0.44188170234357455,3.328614561537435e-6,8.996255571722798e-6
"CD (Franzosa, 2019)",module1,P__PWY.6163,P__PWY.6385,0.7336175650688999,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6163,P__PWY.6700,0.77462383588444506,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6163,P__PWY.7953,0.7648528987678893,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6163,T__Alistipes_shahii,0.5042852392375367,6.524861539958238e-8,2.1047940451478184e-7
"CD (Franzosa, 2019)",module1,P__PWY.6163,T__Asaccharobacter_celatus,0.5352944352999359,6.771838867436486e-9,2.6045534105524947e-8
"CD (Franzosa, 2019)",module1,P__PWY.6163,T__Coprococcus_catus,0.5382909154292118,5.374002132185751e-9,2.1496008528743005e-8
"CD (Franzosa, 2019)",module1,P__PWY.6163,T__Enterorhabdus_caecimuris,0.527797550012538,1.1958476875406632e-8,4.2708845983595115e-8
"CD (Franzosa, 2019)",module1,P__PWY.6163,T__Gemmiger_formicilis,0.5402829191020305,4.602599412706354e-9,1.8659186808269005e-8
"CD (Franzosa, 2019)",module1,P__PWY.6163,T__Roseburia_hominis,0.604121630934409,1.7887913372760522e-11,1.0389381662671089e-10
"CD (Franzosa, 2019)",module1,P__PWY.6292,M__C18.neg_Cluster_2021..urobilin,0.5505214791424126,2.042277014169258e-9,8.879465278996773e-9
"CD (Franzosa, 2019)",module1,P__PWY.6292,M__HILIC.neg_Cluster_0441..sebacate,0.39944585807181227,3.196613061762221e-5,8.19644374810826e-5
"CD (Franzosa, 2019)",module1,P__PWY.6292,M__HILIC.pos_Cluster_2093..urobilin.,0.5106909177088866,4.161989419770862e-8,1.4188600294673392e-7
"CD (Franzosa, 2019)",module1,P__PWY.6292,P__HISTSYN.PWY,0.4601909522468145,1.1370362049678562e-6,3.187951976545391e-6
"CD (Franzosa, 2019)",module1,P__PWY.6292,P__NONMEVIPP.PWY,0.4284450098953916,7.043533034156724e-6,1.8535613247780852e-5
"CD (Franzosa, 2019)",module1,P__PWY.6292,P__PWY.6163,0.44188170234357455,3.328614561537435e-6,8.996255571722798e-6
"CD (Franzosa, 2019)",module1,P__PWY.6292,P__PWY.6385,0.2660043369975658,0.006886776831606767,0.014150911297822125
"CD (Franzosa, 2019)",module1,P__PWY.6292,P__PWY.6700,0.37905462523582306,8.539040875943371e-5,2.1347602189858428e-4
"CD (Franzosa, 2019)",module1,P__PWY.6292,P__PWY.7953,0.2892273417389514,0.003194861399600679,0.007152674775225401
"CD (Franzosa, 2019)",module1,P__PWY.6292,T__Alistipes_shahii,0.5087828246738562,4.763070826641069e-8,1.605529492126203e-7
"CD (Franzosa, 2019)",module1,P__PWY.6292,T__Asaccharobacter_celatus,0.4891482412235377,1.8214691266393856e-7,5.57592589787567e-7
"CD (Franzosa, 2019)",module1,P__PWY.6292,T__Coprococcus_catus,0.4515861165331936,1.8983787419823983e-6,5.206302610845496e-6
"CD (Franzosa, 2019)",module1,P__PWY.6292,T__Enterorhabdus_caecimuris,0.4390826782583952,3.901424599828118e-6,1.0450244463825315e-5
"CD (Franzosa, 2019)",module1,P__PWY.6292,T__Gemmiger_formicilis,0.47795202790087826,3.7725894941331717e-7,1.120571136871239e-6
"CD (Franzosa, 2019)",module1,P__PWY.6292,T__Roseburia_hominis,0.4709149913188853,5.884498928132587e-7,1.6654242249431847e-6
"CD (Franzosa, 2019)",module1,P__PWY.6385,M__C18.neg_Cluster_2021..urobilin,0.5649618580423676,6.19058138084938e-10,2.901835022273147e-9
"CD (Franzosa, 2019)",module1,P__PWY.6385,M__HILIC.neg_Cluster_0441..sebacate,0.51187867718984,3.825167360638204e-8,1.3190232278062772e-7
"CD (Franzosa, 2019)",module1,P__PWY.6385,M__HILIC.pos_Cluster_2093..urobilin.,0.6136366308380186,7.0183858724703896e-12,4.3864911702939935e-11
"CD (Franzosa, 2019)",module1,P__PWY.6385,P__HISTSYN.PWY,0.6290549671757582,1.439293129124053e-12,1.028066520802895e-11
"CD (Franzosa, 2019)",module1,P__PWY.6385,P__NONMEVIPP.PWY,0.7905773520604058,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6385,P__PWY.6163,0.7336175650688999,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6385,P__PWY.6292,0.2660043369975658,0.006886776831606767,0.014150911297822125
"CD (Franzosa, 2019)",module1,P__PWY.6385,P__PWY.6700,0.7151500415604096,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6385,P__PWY.7953,0.9108062719464408,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6385,T__Alistipes_shahii,0.4514913510310175,1.908977623976682e-6,5.206302610845496e-6
"CD (Franzosa, 2019)",module1,P__PWY.6385,T__Asaccharobacter_celatus,0.41925626559965085,1.1548928247506751e-5,3.0127638906539353e-5
"CD (Franzosa, 2019)",module1,P__PWY.6385,T__Coprococcus_catus,0.38408256396598056,6.741887330963259e-5,1.6996354615873762e-4
"CD (Franzosa, 2019)",module1,P__PWY.6385,T__Enterorhabdus_caecimuris,0.43299199894419477,5.4850617132728985e-6,1.4562110743202386e-5
"CD (Franzosa, 2019)",module1,P__PWY.6385,T__Gemmiger_formicilis,0.5017892199353754,7.755001307785392e-8,2.4750004173783166e-7
"CD (Franzosa, 2019)",module1,P__PWY.6385,T__Roseburia_hominis,0.4765904928037479,4.1146431262184535e-7,1.1975717949359758e-6
"CD (Franzosa, 2019)",module1,P__PWY.6700,M__C18.neg_Cluster_2021..urobilin,0.736005303729702,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6700,M__HILIC.neg_Cluster_0441..sebacate,0.5679260166095171,4.810774001384743e-10,2.327793871637779e-9
"CD (Franzosa, 2019)",module1,P__PWY.6700,M__HILIC.pos_Cluster_2093..urobilin.,0.7327055377125695,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6700,P__HISTSYN.PWY,0.7167106773498595,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6700,P__NONMEVIPP.PWY,0.763464055801593,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6700,P__PWY.6163,0.77462383588444506,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6700,P__PWY.6292,0.37905462523582306,8.539040875943371e-5,2.1347602189858428e-4
"CD (Franzosa, 2019)",module1,P__PWY.6700,P__PWY.6385,0.7151500415604096,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6700,P__PWY.7953,0.7414094350611532,0,0
"CD (Franzosa, 2019)",module1,P__PWY.6700,T__Alistipes_shahii,0.5561798980473021,1.2880514432822565e-9,5.767394522159357e-9
"CD (Franzosa, 2019)",module1,P__PWY.6700,T__Asaccharobacter_celatus,0.5804294425314008,1.6147039261227292e-10,8.210358946386758e-10
"CD (Franzosa, 2019)",module1,P__PWY.6700,T__Coprococcus_catus,0.5286758802272454,1.1195687932286091e-8,4.1465510860318856e-8
"CD (Franzosa, 2019)",module1,P__PWY.6700,T__Enterorhabdus_caecimuris,0.5543643855382162,1.4947523219177583e-9,6.594495537872464e-9
"CD (Franzosa, 2019)",module1,P__PWY.6700,T__Gemmiger_formicilis,0.5448491034299505,3.2142817296687554e-9,1.3581472097191923e-8
"CD (Franzosa, 2019)",module1,P__PWY.6700,T__Roseburia_hominis,0.617509520663221,4.75264272381537e-12,3.16842848254358e-11
"CD (Franzosa, 2019)",module1,P__PWY.7953,M__C18.neg_Cluster_2021..urobilin,0.6266067830724619,1.8618440122963875e-12,1.2989609388114332e-11
"CD (Franzosa, 2019)",module1,P__PWY.7953,M__HILIC.neg_Cluster_0441..sebacate,0.6076940692869375,1.2635226198653982e-11,7.581135719192389e-11
"CD (Franzosa, 2019)",module1,P__PWY.7953,M__HILIC.pos_Cluster_2093..urobilin.,0.6564086203639262,6.88338275267597e-14,5.294909809750747e-13
"CD (Franzosa, 2019)",module1,P__PWY.7953,P__HISTSYN.PWY,0.6849777496310453,1.9984014443252818e-15,1.7632953920517194e-14
"CD (Franzosa, 2019)",module1,P__PWY.7953,P__NONMEVIPP.PWY,0.8278461186176185,0,0
"CD (Franzosa, 2019)",module1,P__PWY.7953,P__PWY.6163,0.7648528987678893,0,0
"CD (Franzosa, 2019)",module1,P__PWY.7953,P__PWY.6292,0.2892273417389514,0.003194861399600679,0.007152674775225401
"CD (Franzosa, 2019)",module1,P__PWY.7953,P__PWY.6385,0.9108062719464408,0,0
"CD (Franzosa, 2019)",module1,P__PWY.7953,P__PWY.6700,0.7414094350611532,0,0
"CD (Franzosa, 2019)",module1,P__PWY.7953,T__Alistipes_shahii,0.5011965817443387,8.078004554157303e-8,2.532325349413611e-7
"CD (Franzosa, 2019)",module1,P__PWY.7953,T__Asaccharobacter_celatus,0.4791375477569193,3.4969283913000027e-7,1.0490785173900008e-6
"CD (Franzosa, 2019)",module1,P__PWY.7953,T__Coprococcus_catus,0.41785340481878874,1.2438827115657247e-5,3.216938047152736e-5
"CD (Franzosa, 2019)",module1,P__PWY.7953,T__Enterorhabdus_caecimuris,0.5070714859019523,5.371899680639558e-8,1.751706417599856e-7
"CD (Franzosa, 2019)",module1,P__PWY.7953,T__Gemmiger_formicilis,0.5326556056157284,8.285596431178988e-9,3.14642902449835e-8
"CD (Franzosa, 2019)",module1,P__PWY.7953,T__Roseburia_hominis,0.49598914675405403,1.1523715670591628e-7,3.564035774409782e-7
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,M__C18.neg_Cluster_2021..urobilin,0.7048833359999783,0,0
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,M__HILIC.neg_Cluster_0441..sebacate,0.5419794704256615,4.030356937079205e-9,1.65631107003255e-8
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,M__HILIC.pos_Cluster_2093..urobilin.,0.7042343239463809,0,0
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,P__HISTSYN.PWY,0.508110222251265,4.9940547253157774e-8,1.6601010017208155e-7
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,P__NONMEVIPP.PWY,0.5356685564182764,6.579966571607088e-9,2.563623339587177e-8
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,P__PWY.6163,0.5042852392375367,6.524861539958238e-8,2.1047940451478184e-7
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,P__PWY.6292,0.5087828246738562,4.763070826641069e-8,1.605529492126203e-7
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,P__PWY.6385,0.4514913510310175,1.908977623976682e-6,5.206302610845496e-6
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,P__PWY.6700,0.5561798980473021,1.2880514432822565e-9,5.767394522159357e-9
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,P__PWY.7953,0.5011965817443387,8.078004554157303e-8,2.532325349413611e-7
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,T__Asaccharobacter_celatus,0.5292309238225815,1.0737907896185561e-8,4.0267154610695854e-8
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,T__Coprococcus_catus,0.6133951200592899,7.189804307472514e-12,4.401921004575008e-11
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,T__Enterorhabdus_caecimuris,0.5011508760200992,8.103441118123555e-8,2.532325349413611e-7
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,T__Gemmiger_formicilis,0.60095043679479,2.426681078304682e-11,1.3481561546137122e-10
"CD (Franzosa, 2019)",module1,T__Alistipes_shahii,T__Roseburia_hominis,0.5928007810215545,5.2339244049903755e-11,2.8038880741019865e-10
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,M__C18.neg_Cluster_2021..urobilin,0.7431950063441168,0,0
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,M__HILIC.neg_Cluster_0441..sebacate,0.602515642178576,2.088440531622382e-11,1.182136149974933e-10
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,M__HILIC.pos_Cluster_2093..urobilin.,0.7154703167735973,0,0
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,P__HISTSYN.PWY,0.593802346943199,4.767652939108302e-11,2.6005379667863463e-10
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,P__NONMEVIPP.PWY,0.5369370147281204,5.9674247765428845e-9,2.355562411793244e-8
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,P__PWY.6163,0.5352944352999359,6.771838867436486e-9,2.6045534105524947e-8
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,P__PWY.6292,0.4891482412235377,1.8214691266393856e-7,5.57592589787567e-7
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,P__PWY.6385,0.41925626559965085,1.1548928247506751e-5,3.0127638906539353e-5
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,P__PWY.6700,0.5804294425314008,1.6147039261227292e-10,8.210358946386758e-10
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,P__PWY.7953,0.4791375477569193,3.4969283913000027e-7,1.0490785173900008e-6
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,T__Alistipes_shahii,0.5292309238225815,1.0737907896185561e-8,4.0267154610695854e-8
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,T__Coprococcus_catus,0.4773254615271464,3.9264999918131593e-7,1.1548529387685764e-6
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,T__Enterorhabdus_caecimuris,0.9333203864002484,0,0
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,T__Gemmiger_formicilis,0.5631788945546699,7.195937179460543e-10,3.270880536118429e-9
"CD (Franzosa, 2019)",module1,T__Asaccharobacter_celatus,T__Roseburia_hominis,0.528323377647376,1.14960529984387e-8,4.2058730482092805e-8
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,M__C18.neg_Cluster_2021..urobilin,0.6040523204160998,1.800826154862989e-11,1.0389381662671089e-10
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,M__HILIC.neg_Cluster_0441..sebacate,0.5455103017677259,3.0500895142893114e-9,1.3071812204097048e-8
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,M__HILIC.pos_Cluster_2093..urobilin.,0.5823624844437771,1.3582956981395e-10,7.148924727050001e-10
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,P__HISTSYN.PWY,0.47644995131601825,4.1515822224447163e-7,1.1975717949359758e-6
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,P__NONMEVIPP.PWY,0.45928342057451044,1.2009904779564096e-6,3.3360846609900265e-6
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,P__PWY.6163,0.5382909154292118,5.374002132185751e-9,2.1496008528743005e-8
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,P__PWY.6292,0.4515861165331936,1.8983787419823983e-6,5.206302610845496e-6
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,P__PWY.6385,0.38408256396598056,6.741887330963259e-5,1.6996354615873762e-4
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,P__PWY.6700,0.5286758802272454,1.1195687932286091e-8,4.1465510860318856e-8
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,P__PWY.7953,0.41785340481878874,1.2438827115657247e-5,3.216938047152736e-5
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,T__Alistipes_shahii,0.6133951200592899,7.189804307472514e-12,4.401921004575008e-11
"CD (Franzosa, 2019)",module1,T__Coprococcus_catus,T__Asaccharobacter_celatus,0.4773254615271464,3.9264999918131593e-7,1.1548529387685764e-6
